rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
1,7:17.55,,Jakob INGEBRIGTSEN,2000-09-19,NOR,1,"Stadion Śląski, Chorzów (POL)",2024-08-25,1320.0,3000-metres,middlelong,male,senior,3000-metres,track,437.55,POL,23.0,2024
2,7:20.67,,Daniel KOMEN,1976-05-17,KEN,1,Rieti (ITA),1996-09-01,1299.0,3000-metres,middlelong,male,senior,3000-metres,track,440.67,ITA,20.0,1996
3,7:21.28,,Berihu AREGAWI,2001-02-28,ETH,2,"Stadion Śląski, Chorzów (POL)",2024-08-25,1295.0,3000-metres,middlelong,male,senior,3000-metres,track,441.28,POL,23.0,2024
4,7:22.91,,Grant FISHER,1997-04-22,USA,1,"Armory Track&Field Center, New York, NY (USA) (i)",2025-02-08,1312.0,3000-metres,middlelong,male,senior,3000-metres,track,442.91,USA,27.0,2025
5,7:23.09,,Hicham EL GUERROUJ,1974-09-14,MAR,1,Bruxelles (BEL),1999-09-03,1283.0,3000-metres,middlelong,male,senior,3000-metres,track,443.09,BEL,24.0,1999
6,7:23.14,,Cole HOCKER,2001-06-06,USA,2,"Armory Track&Field Center, New York, NY (USA) (i)",2025-02-08,1310.0,3000-metres,middlelong,male,senior,3000-metres,track,443.14,USA,23.0,2025
7,7:23.63,,Jakob INGEBRIGTSEN,2000-09-19,NOR,1,"Hayward Field, Eugene, OR (USA)",2023-09-17,1280.0,3000-metres,middlelong,male,senior,3000-metres,track,443.63,USA,23.0,2023
8,7:23.64,,Yomif KEJELCHA,1997-08-01,ETH,2,"Hayward Field, Eugene, OR (USA)",2023-09-17,1280.0,3000-metres,middlelong,male,senior,3000-metres,track,443.64,USA,26.0,2023
9,7:23.81,,Lamecha GIRMA,2000-11-26,ETH,1,"Arena Stade Couvert, Liévin (FRA) (i)",2023-02-15,1306.0,3000-metres,middlelong,male,senior,3000-metres,track,443.81,FRA,22.0,2023
10,7:24.00,,Jakob INGEBRIGTSEN,2000-09-19,NOR,,"Stade Charléty, Paris (FRA)",2023-06-09,1278.0,3000-metres,middlelong,male,senior,3000-metres,track,444.0,FRA,22.0,2023
11,7:24.68,,Mohamed KATIR,1998-02-17,ESP,2,"Arena Stade Couvert, Liévin (FRA) (i)",2023-02-15,1300.0,3000-metres,middlelong,male,senior,3000-metres,track,444.68,FRA,25.0,2023
12,7:24.90,,Daniel KOMEN,1976-05-17,KEN,1,Budapest (HUN) (i),1998-02-06,1299.0,3000-metres,middlelong,male,senior,3000-metres,track,444.9,HUN,21.0,1998
13,7:24.98,,Getnet WALE,2000-07-16,ETH,1,"Arena Stade Couvert, Liévin (FRA) (i)",2021-02-09,1298.0,3000-metres,middlelong,male,senior,3000-metres,track,444.98,FRA,20.0,2021
14,7:25.02,,Ali SAIDI-SIEF,1978-03-15,ALG,1,"Stade Louis II, Monaco (MON)",2000-08-18,1271.0,3000-metres,middlelong,male,senior,3000-metres,track,445.02,MON,22.0,2000
15,7:25.09,,Haile GEBRSELASSIE,1973-04-18,ETH,1,Bruxelles (BEL),1998-08-28,1271.0,3000-metres,middlelong,male,senior,3000-metres,track,445.09,BEL,25.0,1998
16,7:25.11,,Noureddine MORCELI,1970-02-28,ALG,1,"Stade Louis II, Monaco (MON)",1994-08-02,1270.0,3000-metres,middlelong,male,senior,3000-metres,track,445.11,MON,24.0,1994
17,7:25.16,,Daniel KOMEN,1976-05-17,KEN,1,Monaco (MON),1996-08-10,1270.0,3000-metres,middlelong,male,senior,3000-metres,track,445.16,MON,20.0,1996
18,7:25.47,,Grant FISHER,1997-04-22,USA,3,"Hayward Field, Eugene, OR (USA)",2023-09-17,1268.0,3000-metres,middlelong,male,senior,3000-metres,track,445.47,USA,26.0,2023
19,7:25.48,,Telahun Haile BEKELE,1999-05-13,ETH,4,"Hayward Field, Eugene, OR (USA)",2023-09-17,1268.0,3000-metres,middlelong,male,senior,3000-metres,track,445.48,USA,24.0,2023
20,7:25.54,,Haile GEBRSELASSIE,1973-04-18,ETH,1,"Stade Louis II, Monaco (MON)",1998-08-08,1268.0,3000-metres,middlelong,male,senior,3000-metres,track,445.54,MON,25.0,1998
21,7:25.79,,Kenenisa BEKELE,1982-06-13,ETH,1,Stockholm (SWE),2007-08-07,1266.0,3000-metres,middlelong,male,senior,3000-metres,track,445.79,SWE,25.0,2007
22,7:25.82,,Selemon BAREGA,2000-01-20,ETH,1,"Arena, Toruń (POL) (i)",2024-02-06,1293.0,3000-metres,middlelong,male,senior,3000-metres,track,445.82,POL,24.0,2024
23,7:25.87,,Daniel KOMEN,1976-05-17,KEN,1,Bruxelles (BEL),1996-08-23,1266.0,3000-metres,middlelong,male,senior,3000-metres,track,445.87,BEL,20.0,1996
24,7:25.93,,Thierry NDIKUMWENAYO,1997-03-26,BDI,1,"Stade Louis II, Monaco (MON)",2022-08-10,1265.0,3000-metres,middlelong,male,senior,3000-metres,track,445.93,MON,25.0,2022
25,7:26.02,,Haile GEBRSELASSIE,1973-04-18,ETH,1,Bruxelles (BEL),1997-08-22,1265.0,3000-metres,middlelong,male,senior,3000-metres,track,446.02,BEL,24.0,1997
26,7:26.03,,Haile GEBRSELASSIE,1973-04-18,ETH,1,Helsinki (FIN),1999-06-10,1264.0,3000-metres,middlelong,male,senior,3000-metres,track,446.03,FIN,26.0,1999
27,7:26.10,,Selemon BAREGA,2000-01-20,ETH,2,"Arena Stade Couvert, Liévin (FRA) (i)",2021-02-09,1291.0,3000-metres,middlelong,male,senior,3000-metres,track,446.1,FRA,21.0,2021
28,7:26.15,,Haile GEBRSELASSIE,1973-04-18,ETH,1,Karlsruhe (GER) (i),1998-01-25,1290.0,3000-metres,middlelong,male,senior,3000-metres,track,446.15,GER,24.0,1998
29,7:26.18,,Lamecha GIRMA,2000-11-26,ETH,1,"Suhaim bin Hamad Stadium, Doha (QAT)",2023-05-05,1264.0,3000-metres,middlelong,male,senior,3000-metres,track,446.18,QAT,22.0,2023
30,7:26.20,,Berihu AREGAWI,2001-02-28,ETH,1,"Messehalle, Karlsruhe (GER) (i)",2022-01-28,1290.0,3000-metres,middlelong,male,senior,3000-metres,track,446.2,GER,20.0,2022
31,7:26.25,,Yomif KEJELCHA,1997-08-01,ETH,1,"Bislett Stadion, Oslo (NOR)",2021-07-01,1263.0,3000-metres,middlelong,male,senior,3000-metres,track,446.25,NOR,23.0,2021
32,7:26.28,,Selemon BAREGA,2000-01-20,ETH,5,"Hayward Field, Eugene, OR (USA)",2023-09-17,1263.0,3000-metres,middlelong,male,senior,3000-metres,track,446.28,USA,23.0,2023
33,7:26.62,,Mohammed MOURHIT,1970-10-10,BEL,2,"Stade Louis II, Monaco (MON)",2000-08-18,1261.0,3000-metres,middlelong,male,senior,3000-metres,track,446.62,MON,29.0,2000
34,7:26.64,,Jacob KIPLIMO,2000-11-14,UGA,1,"Stadio Olimpico, Roma (ITA)",2020-09-17,1261.0,3000-metres,middlelong,male,senior,3000-metres,track,446.64,ITA,19.0,2020
35,7:26.69,,Kenenisa BEKELE,1982-06-13,ETH,1,"EIS Don Valley Stadium, Sheffield (GBR)",2007-07-15,1260.0,3000-metres,middlelong,male,senior,3000-metres,track,446.69,GBR,25.0,2007
36,7:26.73,,Getnet WALE,2000-07-16,ETH,2,"Arena, Toruń (POL) (i)",2024-02-06,1287.0,3000-metres,middlelong,male,senior,3000-metres,track,446.73,POL,23.0,2024
37,7:26.80,,Haile GEBRSELASSIE,1973-04-18,ETH,1,Karlsruhe (GER) (i),1999-01-24,1286.0,3000-metres,middlelong,male,senior,3000-metres,track,446.8,GER,25.0,1999
38,7:26.81,,Berihu AREGAWI,2001-02-28,ETH,2,"Stade Louis II, Monaco (MON)",2022-08-10,1259.0,3000-metres,middlelong,male,senior,3000-metres,track,446.81,MON,21.0,2022
39,7:27.05,,Jakob INGEBRIGTSEN,2000-09-19,NOR,2,"Stadio Olimpico, Roma (ITA)",2020-09-17,1258.0,3000-metres,middlelong,male,senior,3000-metres,track,447.05,ITA,20.0,2020
40,7:27.16,,Selemon BAREGA,2000-01-20,ETH,2,"Suhaim bin Hamad Stadium, Doha (QAT)",2023-05-05,1257.0,3000-metres,middlelong,male,senior,3000-metres,track,447.16,QAT,23.0,2023
41,7:27.18,,Moses KIPTANUI,1970-10-01,KEN,1,"Stade Louis II, Monaco (MON)",1995-07-25,1257.0,3000-metres,middlelong,male,senior,3000-metres,track,447.18,MON,24.0,1995
42,7:27.26,,Yenew ALAMIREW,1990-05-27,ETH,1,"Suhaim bin Hamad Stadium, Doha (QAT)",2011-05-06,1257.0,3000-metres,middlelong,male,senior,3000-metres,track,447.26,QAT,20.0,2011
43,7:27.42,,Haile GEBRSELASSIE,1973-04-18,ETH,1,"Bislett Stadion, Oslo (NOR)",1998-07-09,1256.0,3000-metres,middlelong,male,senior,3000-metres,track,447.42,NOR,25.0,1998
44,7:27.50,,Noureddine MORCELI,1970-02-28,ALG,1,Bruxelles (BEL),1995-08-25,1255.0,3000-metres,middlelong,male,senior,3000-metres,track,447.5,BEL,25.0,1995
45,7:27.55,,Edwin Cheruiyot SOI,1986-03-03,KEN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",2011-05-06,1255.0,3000-metres,middlelong,male,senior,3000-metres,track,447.55,QAT,25.0,2011
46,7:27.59,,Luke KIPKOSGEI,1975-11-27,KEN,2,"Stade Louis II, Monaco (MON)",1998-08-08,1254.0,3000-metres,middlelong,male,senior,3000-metres,track,447.59,MON,22.0,1998
47,7:27.61,,Berihu AREGAWI,2001-02-28,ETH,3,"Suhaim bin Hamad Stadium, Doha (QAT)",2023-05-05,1254.0,3000-metres,middlelong,male,senior,3000-metres,track,447.61,QAT,22.0,2023
48,7:27.64,,Mohamed KATIR,1998-02-17,ESP,1,"International Stadium, Gateshead (GBR)",2021-07-13,1254.0,3000-metres,middlelong,male,senior,3000-metres,track,447.64,GBR,23.0,2021
49,7:27.66,,Eliud KIPCHOGE,1984-11-05,KEN,3,"Suhaim bin Hamad Stadium, Doha (QAT)",2011-05-06,1254.0,3000-metres,middlelong,male,senior,3000-metres,track,447.66,QAT,26.0,2011
50,7:27.67,,Ali SAIDI-SIEF,1978-03-15,ALG,1,"Stade de France, Paris-St-Denis (FRA)",2000-06-23,1254.0,3000-metres,middlelong,male,senior,3000-metres,track,447.67,FRA,22.0,2000
51,7:27.68,,Dominic Lokinyomo LOBALU,1998-08-16,SUI,1,"Olympic Stadium, London (GBR)",2024-07-20,1254.0,3000-metres,middlelong,male,senior,3000-metres,track,447.68,GBR,25.0,2024
52,7:27.72,,Eliud KIPCHOGE,1984-11-05,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",2004-09-03,1254.0,3000-metres,middlelong,male,senior,3000-metres,track,447.72,BEL,19.0,2004
53,7:27.75,,Tom NYARIKI,1971-09-27,KEN,2,Monaco (MON),1996-08-10,1253.0,3000-metres,middlelong,male,senior,3000-metres,track,447.75,MON,24.0,1996
54,7:27.80,,Yenew ALAMIREW,1990-05-27,ETH,1,"Schleyer Halle, Stuttgart (GER) (i)",2011-02-05,1280.0,3000-metres,middlelong,male,senior,3000-metres,track,447.8,GER,20.0,2011
55,7:27.92,,George MILLS,1999-05-12,GBR,1,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) (i)",2025-02-02,1279.0,3000-metres,middlelong,male,senior,3000-metres,track,447.92,FRA,25.0,2025
56,7:27.93,,Daniel KOMEN,1976-05-17,KEN,1,Stuttgart (GER) (i),1998-02-01,1279.0,3000-metres,middlelong,male,senior,3000-metres,track,447.93,GER,21.0,1998
57,7:27.98,,Lamecha GIRMA,2000-11-26,ETH,3,"Arena Stade Couvert, Liévin (FRA) (i)",2021-02-09,1278.0,3000-metres,middlelong,male,senior,3000-metres,track,447.98,FRA,20.0,2021
58,7:27.99,,Grant FISHER,1997-04-22,USA,2,"Olympic Stadium, London (GBR)",2024-07-20,1252.0,3000-metres,middlelong,male,senior,3000-metres,track,447.99,GBR,27.0,2024
59,7:28.00,,Yomif KEJELCHA,1997-08-01,ETH,1f1,Göteborg (SWE),2018-08-18,1252.0,3000-metres,middlelong,male,senior,3000-metres,track,448.0,SWE,21.0,2018
59,7:28.00,,Augustine Kiprono CHOGE,1987-01-21,KEN,2,"Schleyer Halle, Stuttgart (GER) (i)",2011-02-05,1278.0,3000-metres,middlelong,male,senior,3000-metres,track,448.0,GER,24.0,2011
61,7:28.02,,Stewart MCSWEYN,1995-06-01,AUS,3,"Stadio Olimpico, Roma (ITA)",2020-09-17,1252.0,3000-metres,middlelong,male,senior,3000-metres,track,448.02,ITA,25.0,2020
62,7:28.04,,Moses KIPTANUI,1970-10-01,KEN,1,Köln (GER),1995-08-18,1252.0,3000-metres,middlelong,male,senior,3000-metres,track,448.04,GER,24.0,1995
1,7:28.19,,Yomif KEJELCHA,1997-08-01,ETH,1,"Stade de France, Paris-St-Denis (FRA)",2016-08-27,1251.0,3000-metres,middlelong,male,u20,3000-metres,track,448.19,FRA,19.0,2016
63,7:28.19,,Yomif KEJELCHA,1997-08-01,ETH,1,"Stade de France, Paris-St-Denis (FRA)",2016-08-27,1251.0,3000-metres,middlelong,male,senior,3000-metres,track,448.19,FRA,19.0,2016
64,7:28.23,,Yared NUGUSE,1999-06-01,USA,1f1,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",2023-01-27,1277.0,3000-metres,middlelong,male,senior,3000-metres,track,448.23,USA,23.0,2023
65,7:28.28,,Luke KIPKOSGEI,1975-11-27,KEN,2,"Bislett Stadion, Oslo (NOR)",1998-07-09,1250.0,3000-metres,middlelong,male,senior,3000-metres,track,448.28,NOR,22.0,1998
65,7:28.28,,James Kwalia C'KURUI,1984-06-12,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",2004-09-03,1250.0,3000-metres,middlelong,male,senior,3000-metres,track,448.28,BEL,20.0,2004
67,7:28.29,,Haile GEBRSELASSIE,1973-04-18,ETH,1,Karlsruhe (GER) (i),2003-02-28,1276.0,3000-metres,middlelong,male,senior,3000-metres,track,448.29,GER,29.0,2003
68,7:28.37,,Eliud KIPCHOGE,1984-11-05,KEN,1,Doha (QAT),2009-05-08,1249.0,3000-metres,middlelong,male,senior,3000-metres,track,448.37,QAT,24.0,2009
69,7:28.38,,Berihu AREGAWI,2001-02-28,ETH,6,"Hayward Field, Eugene, OR (USA)",2023-09-17,1249.0,3000-metres,middlelong,male,senior,3000-metres,track,448.38,USA,22.0,2023
70,7:28.41,,Paul BITOK,1970-06-26,KEN,3,Monaco (MON),1996-08-10,1249.0,3000-metres,middlelong,male,senior,3000-metres,track,448.41,MON,26.0,1996
71,7:28.44,,Yomif KEJELCHA,1997-08-01,ETH,3,"Stadion Śląski, Chorzów (POL)",2024-08-25,1249.0,3000-metres,middlelong,male,senior,3000-metres,track,448.44,POL,27.0,2024
72,7:28.45,,Assefa MEZGEBU,1978-06-19,ETH,3,"Stade Louis II, Monaco (MON)",1998-08-08,1249.0,3000-metres,middlelong,male,senior,3000-metres,track,448.45,MON,20.0,1998
73,7:28.48,,Grant FISHER,1997-04-22,USA,3,"Stade Louis II, Monaco (MON)",2022-08-10,1249.0,3000-metres,middlelong,male,senior,3000-metres,track,448.48,MON,25.0,2022
74,7:28.53,,Edwin KURGAT,1996-05-19,KEN,3,"Olympic Stadium, London (GBR)",2024-07-20,1248.0,3000-metres,middlelong,male,senior,3000-metres,track,448.53,GBR,28.0,2024
75,7:28.56,,Eliud KIPCHOGE,1984-11-05,KEN,1,Doha (QAT),2005-05-13,1248.0,3000-metres,middlelong,male,senior,3000-metres,track,448.56,QAT,20.0,2005
76,7:28.64,,Kenenisa BEKELE,1982-06-13,ETH,1,"Stade de France, Paris-St-Denis (FRA)",2009-07-17,1248.0,3000-metres,middlelong,male,senior,3000-metres,track,448.64,FRA,27.0,2009
77,7:28.67,,Benjamin LIMO,1974-08-23,KEN,1,"Stade Louis II, Monaco (MON)",1999-08-04,1248.0,3000-metres,middlelong,male,senior,3000-metres,track,448.67,MON,24.0,1999
78,7:28.70,,Paul TERGAT,1969-06-17,KEN,4,Monaco (MON),1996-08-10,1247.0,3000-metres,middlelong,male,senior,3000-metres,track,448.7,MON,27.0,1996
78,7:28.70,,Tariku BEKELE,1987-02-28,ETH,1,"Stadio Guidobaldi, Rieti (ITA)",2010-08-29,1247.0,3000-metres,middlelong,male,senior,3000-metres,track,448.7,ITA,23.0,2010
80,7:28.72,,Isaac Kiprono SONGOK,1984-04-25,KEN,1,Rieti (ITA),2006-08-27,1247.0,3000-metres,middlelong,male,senior,3000-metres,track,448.72,ITA,22.0,2006
81,7:28.73,,Ronald KWEMOI,1995-09-19,KEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",2017-05-05,1247.0,3000-metres,middlelong,male,senior,3000-metres,track,448.73,QAT,21.0,2017
82,7:28.76,,Augustine Kiprono CHOGE,1987-01-21,KEN,4,"Suhaim bin Hamad Stadium, Doha (QAT)",2011-05-06,1247.0,3000-metres,middlelong,male,senior,3000-metres,track,448.76,QAT,24.0,2011
2,7:28.78,,Augustine Kiprono CHOGE,1987-01-21,KEN,2,Doha (QAT),2005-05-13,1247.0,3000-metres,middlelong,male,u20,3000-metres,track,448.78,QAT,18.0,2005
83,7:28.78,,Augustine Kiprono CHOGE,1987-01-21,KEN,2,Doha (QAT),2005-05-13,1247.0,3000-metres,middlelong,male,senior,3000-metres,track,448.78,QAT,18.0,2005
84,7:28.82,,Yenew ALAMIREW,1990-05-27,ETH,1,Milano (ITA),2010-09-09,1247.0,3000-metres,middlelong,male,senior,3000-metres,track,448.82,ITA,20.0,2010
85,7:28.83,,Jacob KROP,2001-06-04,KEN,1,"Stade Charléty, Paris (FRA)",2024-07-07,1247.0,3000-metres,middlelong,male,senior,3000-metres,track,448.83,FRA,23.0,2024
86,7:28.92,,Daniel KOMEN,1976-05-17,KEN,3,"Stade Louis II, Monaco (MON)",2000-08-18,1246.0,3000-metres,middlelong,male,senior,3000-metres,track,448.92,MON,24.0,2000
87,7:28.93,,Salah HISSOU,1972-01-16,MAR,2,"Stade Louis II, Monaco (MON)",1999-08-04,1246.0,3000-metres,middlelong,male,senior,3000-metres,track,448.93,MON,27.0,1999
