rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
88,7:28.94,,Brahim LAHLAFI,1968-04-15,MAR,3,"Stade Louis II, Monaco (MON)",1999-08-04,1246.0,3000-metres,middlelong,male,senior,3000-metres,track,448.94,MON,31.0,1999
88,7:28.94,,Stewart MCSWEYN,1995-06-01,AUS,2,"International Stadium, Gateshead (GBR)",2021-07-13,1246.0,3000-metres,middlelong,male,senior,3000-metres,track,448.94,GBR,26.0,2021
90,7:28.96,,Moses KIPTANUI,1970-10-01,KEN,1,Köln (GER),1992-08-16,1246.0,3000-metres,middlelong,male,senior,3000-metres,track,448.96,GER,21.0,1992
91,7:28.98,,Isaac Kiprono SONGOK,1984-04-25,KEN,1,Doha (QAT),2006-05-12,1246.0,3000-metres,middlelong,male,senior,3000-metres,track,448.98,QAT,22.0,2006
92,7:28.99,,Tariku BEKELE,1987-02-28,ETH,1,"Olympiastadion, Berlin (GER)",2010-08-22,1246.0,3000-metres,middlelong,male,senior,3000-metres,track,448.99,GER,23.0,2010
93,7:29.00,,Bernard LAGAT,1974-12-12,USA,2,"Stadio Guidobaldi, Rieti (ITA)",2010-08-29,1245.0,3000-metres,middlelong,male,senior,3000-metres,track,449.0,ITA,35.0,2010
94,7:29.09,,John Kemboi KIBOWEN,1969-04-21,KEN,3,"Bislett Stadion, Oslo (NOR)",1998-07-09,1245.0,3000-metres,middlelong,male,senior,3000-metres,track,449.09,NOR,29.0,1998
94,7:29.09,,Lamecha GIRMA,2000-11-26,ETH,1,"The Track at New Balance, Boston, MA (USA) (i)",2024-02-04,1271.0,3000-metres,middlelong,male,senior,3000-metres,track,449.09,USA,23.0,2024
3,7:29.11,,Tariku BEKELE,1987-02-28,ETH,2,Rieti (ITA),2006-08-27,1245.0,3000-metres,middlelong,male,u20,3000-metres,track,449.11,ITA,19.0,2006
96,7:29.11,,Tariku BEKELE,1987-02-28,ETH,2,Rieti (ITA),2006-08-27,1245.0,3000-metres,middlelong,male,senior,3000-metres,track,449.11,ITA,19.0,2006
97,7:29.23,,Brahim LAHLAFI,1968-04-15,MAR,4,"Stade Louis II, Monaco (MON)",1998-08-08,1244.0,3000-metres,middlelong,male,senior,3000-metres,track,449.23,MON,30.0,1998
98,7:29.24,,Noureddine MORCELI,1970-02-28,ALG,1,"Stade Louis II, Monaco (MON)",1993-08-07,1244.0,3000-metres,middlelong,male,senior,3000-metres,track,449.24,MON,23.0,1993
98,7:29.24,,Berihu AREGAWI,2001-02-28,ETH,4,"Arena Stade Couvert, Liévin (FRA) (i)",2021-02-09,1270.0,3000-metres,middlelong,male,senior,3000-metres,track,449.24,FRA,19.0,2021
100,7:29.25,,Brahim LAHLAFI,1968-04-15,MAR,4,"Stade Louis II, Monaco (MON)",2000-08-18,1244.0,3000-metres,middlelong,male,senior,3000-metres,track,449.25,MON,32.0,2000
101,7:29.32,,Kenenisa BEKELE,1982-06-13,ETH,1,"Stade Louis II, Monaco (MON)",2007-07-25,1243.0,3000-metres,middlelong,male,senior,3000-metres,track,449.32,MON,25.0,2007
102,7:29.34,,Isaac VICIOSA,1969-12-26,ESP,4,"Bislett Stadion, Oslo (NOR)",1998-07-09,1243.0,3000-metres,middlelong,male,senior,3000-metres,track,449.34,NOR,28.0,1998
102,7:29.34,,Haile GEBRSELASSIE,1973-04-18,ETH,1,Karlsruhe (GER) (i),2004-02-15,1270.0,3000-metres,middlelong,male,senior,3000-metres,track,449.34,GER,30.0,2004
104,7:29.36,,Noureddine MORCELI,1970-02-28,ALG,1,Rieti (ITA),1995-09-05,1243.0,3000-metres,middlelong,male,senior,3000-metres,track,449.36,ITA,25.0,1995
105,7:29.37,,Eliud KIPCHOGE,1984-11-05,KEN,3,"Schleyer Halle, Stuttgart (GER) (i)",2011-02-05,1269.0,3000-metres,middlelong,male,senior,3000-metres,track,449.37,GER,26.0,2011
106,7:29.43,,Daniel KOMEN,1976-05-17,KEN,4,"Stade Louis II, Monaco (MON)",1999-08-04,1243.0,3000-metres,middlelong,male,senior,3000-metres,track,449.43,MON,23.0,1999
106,7:29.43,,Luis GRIJALVA,1999-04-10,GUA,7,"Hayward Field, Eugene, OR (USA)",2023-09-17,1243.0,3000-metres,middlelong,male,senior,3000-metres,track,449.43,USA,24.0,2023
108,7:29.45,,Saïd AOUITA,1959-11-02,MAR,1,Köln (GER),1989-08-20,1243.0,3000-metres,middlelong,male,senior,3000-metres,track,449.45,GER,29.0,1989
109,7:29.46,,Stewart MCSWEYN,1995-06-01,AUS,2,"Stade Charléty, Paris (FRA)",2024-07-07,1243.0,3000-metres,middlelong,male,senior,3000-metres,track,449.46,FRA,29.0,2024
110,7:29.48,,Dominic Lokinyomo LOBALU,1998-08-16,SSD,1,"Olympiastadion, Stockholm (SWE)",2022-06-30,1242.0,3000-metres,middlelong,male,senior,3000-metres,track,449.48,SWE,23.0,2022
111,7:29.49,,Niels LAROS,2005-04-17,NED,1,"Arena Stade Couvert, Liévin (FRA) (i)",2025-02-13,1269.0,3000-metres,middlelong,male,senior,3000-metres,track,449.49,FRA,19.0,2025
112,7:29.55,,Paul BITOK,1970-06-26,KEN,1,Oslo (NOR),1996-07-05,1242.0,3000-metres,middlelong,male,senior,3000-metres,track,449.55,NOR,26.0,1996
112,7:29.55,,Jacob KIPLIMO,2000-11-14,UGA,2,"Olympiastadion, Stockholm (SWE)",2022-06-30,1242.0,3000-metres,middlelong,male,senior,3000-metres,track,449.55,SWE,21.0,2022
114,7:29.60,,Benjamin LIMO,1974-08-23,KEN,3,Doha (QAT),2005-05-13,1242.0,3000-metres,middlelong,male,senior,3000-metres,track,449.6,QAT,30.0,2005
115,7:29.7h,,Haile GEBRSELASSIE,1973-04-18,ETH,,"Crystal Palace, London (GBR)",1999-08-07,1241.0,3000-metres,middlelong,male,senior,3000-metres,track,449.7,GBR,26.0,1999
116,7:29.72,,Graham BLANKS,2002-04-24,USA,1f1,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",2025-03-02,1267.0,3000-metres,middlelong,male,senior,3000-metres,track,449.72,USA,22.0,2025
117,7:29.74,,Augustine Kiprono CHOGE,1987-01-21,KEN,2,Doha (QAT),2006-05-12,1241.0,3000-metres,middlelong,male,senior,3000-metres,track,449.74,QAT,19.0,2006
4,7:29.74,,Augustine Kiprono CHOGE,1987-01-21,KEN,2,Doha (QAT),2006-05-12,1241.0,3000-metres,middlelong,male,u20,3000-metres,track,449.74,QAT,19.0,2006
118,7:29.75,,Edwin Cheruiyot SOI,1986-03-03,KEN,3,"Stadio Guidobaldi, Rieti (ITA)",2010-08-29,1241.0,3000-metres,middlelong,male,senior,3000-metres,track,449.75,ITA,24.0,2010
119,7:29.92,,Sileshi SIHINE,1983-01-29,ETH,1,Rieti (ITA),2005-08-28,1240.0,3000-metres,middlelong,male,senior,3000-metres,track,449.92,ITA,22.0,2005
120,7:29.94,,Augustine Kiprono CHOGE,1987-01-21,KEN,1,Karlsruhe (GER) (i),2012-02-12,1266.0,3000-metres,middlelong,male,senior,3000-metres,track,449.94,GER,25.0,2012
120,7:29.94,,Edwin Cheruiyot SOI,1986-03-03,KEN,2,Karlsruhe (GER) (i),2012-02-12,1266.0,3000-metres,middlelong,male,senior,3000-metres,track,449.94,GER,25.0,2012
122,7:29.95,,Moses KIPTANUI,1970-10-01,KEN,5,Monaco (MON),1996-08-10,1239.0,3000-metres,middlelong,male,senior,3000-metres,track,449.95,MON,25.0,1996
5,7:29.99,,Biniam MEHARY,2006-12-20,ETH,2,"Arena Stade Couvert, Liévin (FRA) (i)",2025-02-13,1265.0,3000-metres,middlelong,male,u20,3000-metres,track,449.99,FRA,18.0,2025
123,7:29.99,,Biniam MEHARY,2006-12-20,ETH,2,"Arena Stade Couvert, Liévin (FRA) (i)",2025-02-13,1265.0,3000-metres,middlelong,male,senior,3000-metres,track,449.99,FRA,18.0,2025
124,7:30.07,,Jacob KROP,2001-06-04,KEN,2,"Bislett Stadion, Oslo (NOR)",2021-07-01,1239.0,3000-metres,middlelong,male,senior,3000-metres,track,450.07,NOR,20.0,2021
125,7:30.09,,Ismail SGHYR,1972-03-16,MAR,2,"Stade Louis II, Monaco (MON)",1995-07-25,1239.0,3000-metres,middlelong,male,senior,3000-metres,track,450.09,MON,23.0,1995
125,7:30.09,,Abdelaati IGUIDER,1987-03-25,MAR,2,"Stade de France, Paris-St-Denis (FRA)",2016-08-27,1239.0,3000-metres,middlelong,male,senior,3000-metres,track,450.09,FRA,29.0,2016
125,7:30.09,,Thomas Pkemei LONGOSIWA,1982-01-14,KEN,2,Doha (QAT),2009-05-08,1239.0,3000-metres,middlelong,male,senior,3000-metres,track,450.09,QAT,27.0,2009
128,7:30.14,,Josh KERR,1997-10-08,GBR,,"Armory Track&Field Center, New York, NY (USA) (i)",2024-02-11,1264.0,3000-metres,middlelong,male,senior,3000-metres,track,450.14,USA,26.0,2024
128,7:30.14,,Isaac Kiprono SONGOK,1984-04-25,KEN,1,"FBK Stadium, Hengelo (NED)",2005-05-29,1238.0,3000-metres,middlelong,male,senior,3000-metres,track,450.14,NED,21.0,2005
130,7:30.15,,Ethan STRAND,2002-10-19,USA,1f1,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",2024-12-07,1264.0,3000-metres,middlelong,male,senior,3000-metres,track,450.15,USA,22.0,2024
