rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
53,6.74,,Ylann BIZASENE,19 APR 2006,FRA,1,"Halle Stéphane Diagana, Lyon (FRA) (i)",25 FEB 2023,1075,60-metres,sprints,male,u18
53,6.74,,Joel MASTERS,15 SEP 2007,GBR,1sf2,"National Indoor Athletics Centre, Sheffield (GBR) (i)",10 FEB 2024,1075,60-metres,sprints,male,u18
53,6.74,,Yat Lok CHAN,06 JAN 2007,HKG,3h1,"Aftab Enghelab Sport Complex, Tehran (IRI) (i)",18 FEB 2024,1075,60-metres,sprints,male,u18
53,6.74,,Yat Lok CHAN,06 JAN 2007,HKG,6sf2,"Aftab Enghelab Sport Complex, Tehran (IRI) (i)",18 FEB 2024,1075,60-metres,sprints,male,u18
67,6.75,,Tim GOEBEL,04 MAR 1982,GER,sf,Halle (GER) (i),14 FEB 1999,1070,60-metres,sprints,male,u18
67,6.75,,Jerald WATSON,11 DEC 1985,USA,1sf2,"New York, NY (USA) (i)",10 MAR 2002,1070,60-metres,sprints,male,u18
67,6.75,,Yongyi WEN,03 JAN 1987,CHN,2,Shanghai (CHN) (i),02 MAR 2003,1070,60-metres,sprints,male,u18
67,6.75,,Derrick JONES,1986,USA,1sf1,"New York, NY (USA) (i)",16 MAR 2003,1070,60-metres,sprints,male,u18
67,6.75,,Rondrick PARKER,,USA,2,"Johnson City, TN (USA) (i)",21 JAN 2006,1070,60-metres,sprints,male,u18
67,6.75,,Rynell PARSON,11 JUL 1990,USA,3,"Landover, MD (USA) (i)",11 MAR 2007,1070,60-metres,sprints,male,u18
67,6.75,,Rondrick PARKER,,USA,1f1,"Chapel Hill, NC (USA) (i)",16 FEB 2008,1070,60-metres,sprints,male,u18
67,6.75,,Devon SMITH,16 FEB 1991,USA,1sf1,"Landover, MD (USA) (i)",15 MAR 2008,1070,60-metres,sprints,male,u18
67,6.75,,Zhouzheng XU,26 DEC 1995,CHN,4f1,Nanjing (CHN) (i),13 FEB 2012,1070,60-metres,sprints,male,u18
67,6.75,,Dennis MOORE,,USA,1h6,"Albuquerque, NM (USA) (i)",26 JAN 2013,1070,60-metres,sprints,male,u18
67,6.75,,P.J. LOTHARP,,USA,3h1,"Robert W. Plaster Center, Pittsburg, KS (USA) (i)",09 MAR 2018,1070,60-metres,sprints,male,u18
67,6.75,,Marcellus MOORE,30 JUN 2002,USA,1f1,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",12 JAN 2019,1070,60-metres,sprints,male,u18
67,6.75,,Michael GUPTON,,USA,2f2,"JDL Fast Track, Winston Salem, NC (USA) (i)",01 FEB 2020,1070,60-metres,sprints,male,u18
67,6.75,,David FOSTER,29 AUG 2003,USA,2f13,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",19 DEC 2020,1070,60-metres,sprints,male,u18
67,6.75,,Lennart HARTENBERG,20 MAR 2004,GER,1h,"Leichtathletikhallen Manfort, Leverkusen (GER) (i)",23 JAN 2021,1070,60-metres,sprints,male,u18
67,6.75,,Justin BRAUN,13 FEB 2004,USA,2,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",04 DEC 2021,1070,60-metres,sprints,male,u18
67,6.75,,Ylann BIZASENE,19 APR 2006,FRA,1f1,"Arena Stade Couvert, Liévin (FRA) (i)",11 MAR 2023,1070,60-metres,sprints,male,u18
67,6.75,,Koji PEREZ,04 MAR 2006,ESP,1,"Pista Cubierta Carlos Gil Perez, Salamanca (ESP) (i)",12 MAR 2023,1070,60-metres,sprints,male,u18
67,6.75,,Samuel CHUCKWENEKA,06 JAN 2007,ESP,4sf2,"Pistas Expourense, Ourense (ESP) (i)",17 FEB 2024,1070,60-metres,sprints,male,u18
67,6.75,+0.8,Yat Lok CHAN,06 JAN 2007,HKG,1,"Wan Chai Sports Ground, Hong Kong (HKG)",07 JUL 2024,1070,60-metres,sprints,male,u18
