rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,6.64,,Tate TAYLOR,,USA,2,"Armory Track&Field Center, New York, NY (USA) (i)",16 MAR 2025,1130,60-metres,sprints,male,u18
2,6.65,,Marcellus MOORE,30 JUN 2002,USA,2f2,"Lexington, KY (USA) (i)",16 FEB 2019,1125,60-metres,sprints,male,u18
3,6.66,,Christian BLUM,10 MAR 1987,GER,1,Stuttgart (GER) (i),04 FEB 1996,1119,60-metres,sprints,male,u18
3,6.66,,Rodney BURNES,,USA,1,"Flagstaff, AZ (USA) (i)",03 FEB 2007,1119,60-metres,sprints,male,u18
5,6.67,,Jeremy RANKIN,23 SEP 1990,USA,2,"Golden, CO (USA) (i)",16 FEB 2007,1114,60-metres,sprints,male,u18
5,6.67,,Jonte BAKER,,USA,3,"Birmingham, AL (USA) (i)",11 MAR 2017,1114,60-metres,sprints,male,u18
7,6.68,,Haohuan ZHAO,20 FEB 1988,CHN,2,Beijing (CHN) (i),22 FEB 2004,1108,60-metres,sprints,male,u18
7,6.68,,Ricardo THOMPSON,,USA,5,"New York, NY (USA) (i)",02 FEB 2007,1108,60-metres,sprints,male,u18
9,6.69,,Mark LEWIS-FRANCIS,04 SEP 1982,GBR,h,Nogent-sur-Oise (FRA) (i),27 FEB 1999,1103,60-metres,sprints,male,u18
9,6.69,,Yongyi WEN,03 JAN 1987,CHN,4,Beijing (CHN) (i),22 FEB 2004,1103,60-metres,sprints,male,u18
9,6.69,,Brian HOPE,,USA,3h,"Boston, MA (USA) (i)",10 MAR 2006,1103,60-metres,sprints,male,u18
9,6.69,,Devon MOORE,,USA,1sf2,"Kerr-Cregger Field House, Salem, VA (USA) (i)",24 JAN 2020,1103,60-metres,sprints,male,u18
9,6.69,,Jerrae HAWKINS,2006,USA,3,"The Track at New Balance, Boston, MA (USA) (i)",12 MAR 2023,1103,60-metres,sprints,male,u18
14,6.70,,Gerald PHIRI,06 OCT 1988,GBR,5,Sheffield (GBR) (i),13 FEB 2005,1097,60-metres,sprints,male,u18
14,6.70,,Ricardo THOMPSON,,USA,6h5,"New York, NY (USA) (i)",02 FEB 2007,1097,60-metres,sprints,male,u18
14,6.70,,Jeremy RANKIN,23 SEP 1990,USA,2,"Golden, CO (USA) (i)",10 FEB 2007,1097,60-metres,sprints,male,u18
14,6.70,,Jordan HUGGINS,17 MAY 1991,GBR,1,Birmingham (GBR) (i),23 FEB 2008,1097,60-metres,sprints,male,u18
14,6.70,,Jaylen SLADE,OCT 2003,USA,1f13,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",19 DEC 2020,1097,60-metres,sprints,male,u18
19,6.71,,Jeremy RANKIN,23 SEP 1990,USA,1,"Landover, MD (USA) (i)",11 MAR 2007,1092,60-metres,sprints,male,u18
19,6.71,,Yonglian HUANG,12 NOV 2000,CHN,5,Ashgabat (TKM) (i),19 SEP 2017,1092,60-metres,sprints,male,u18
19,6.71,,Marcellus MOORE,30 JUN 2002,USA,1,Reykjavík (ISL) (i),03 FEB 2019,1092,60-metres,sprints,male,u18
19,6.71,,Raphael BOUJU,15 MAY 2002,NED,1h1,Apeldoorn (NED) (i),16 FEB 2019,1092,60-metres,sprints,male,u18
19,6.71,,Devon MOORE,,USA,1f1,"East Tennessee State-Memorial Ctr., Johnson City, TN (USA) (i)",11 JAN 2020,1092,60-metres,sprints,male,u18
19,6.71,,Antwan Jr. HUGHES,2006,USA,1h1,"The Track at New Balance, Boston, MA (USA) (i)",11 MAR 2023,1092,60-metres,sprints,male,u18
19,6.71,,Divine IHEME,01 OCT 2009,GBR,4er1,"Lee Valley Athletics Centre, London (GBR) (i)",05 JAN 2025,1092,60-metres,sprints,male,u18
19,6.71,,Wyatt LEE,2008,CAN,1f18,"Track and Field Centre, Toronto (CAN) (i)",22 MAR 2025,1092,60-metres,sprints,male,u18
27,6.72,,Derrick JONES,1986,USA,1,"New York, NY (USA) (i)",16 MAR 2003,1086,60-metres,sprints,male,u18
27,6.72,,Ahmed AWESU,06 OCT 1987,NGR,1,Toronto (CAN) (i),10 JAN 2004,1086,60-metres,sprints,male,u18
27,6.72,,Yongyi WEN,03 JAN 1987,CHN,24h,Beijing (CHN) (i),22 FEB 2004,1086,60-metres,sprints,male,u18
27,6.72,,Gerald PHIRI,06 OCT 1988,GBR,2sf3,Sheffield (GBR) (i),13 FEB 2005,1086,60-metres,sprints,male,u18
27,6.72,,Rondrick PARKER,,USA,1h1,"Clemson, SC (USA) (i)",10 FEB 2006,1086,60-metres,sprints,male,u18
27,6.72,,Ricardo THOMPSON,,USA,2,"Baton Rouge, LA (USA) (i)",13 JAN 2007,1086,60-metres,sprints,male,u18
27,6.72,,Ricardo THOMPSON,,USA,3,"New York, NY (USA) (i)",03 FEB 2007,1086,60-metres,sprints,male,u18
27,6.72,,Jordan HUGGINS,17 MAY 1991,GBR,3sf1,Sheffield (GBR) (i),10 FEB 2008,1086,60-metres,sprints,male,u18
27,6.72,,Rumeal MCKINNEY,,USA,1f1,"Allendale, MI (USA) (i)",17 DEC 2010,1086,60-metres,sprints,male,u18
27,6.72,,Jamal WATKINS,,USA,1h2,"Grinnell, IA (USA) (i)",11 MAR 2016,1086,60-metres,sprints,male,u18
27,6.72,,Divine IHEME,01 OCT 2009,GBR,1f12,"Lee Valley Athletics Centre, London (GBR) (i)",05 JAN 2025,1086,60-metres,sprints,male,u18
38,6.73,,Jamal JONES,,USA,3,"Indianapolis, IN (USA) (i)",11 FEB 2000,1081,60-metres,sprints,male,u18
38,6.73,,Jerald WATSON,11 DEC 1985,USA,1h5,"New York, NY (USA) (i)",09 MAR 2002,1081,60-metres,sprints,male,u18
38,6.73,,Ahmed AWESU,06 OCT 1987,NGR,1,Toronto (CAN) (i),25 JAN 2004,1081,60-metres,sprints,male,u18
38,6.73,,Rondrick PARKER,,USA,2,"Clemson, SC (USA) (i)",11 FEB 2006,1081,60-metres,sprints,male,u18
38,6.73,,Rodney BURNES,,USA,2h,"Flagstaff, AZ (USA) (i)",03 FEB 2007,1081,60-metres,sprints,male,u18
38,6.73,,Rynell PARSON,11 JUL 1990,USA,1h9,"Houston, TX (USA) (i)",09 FEB 2007,1081,60-metres,sprints,male,u18
38,6.73,,Brandon BOBB,21 MAY 1995,CAN,2,"New York, NY (USA) (i)",11 MAR 2012,1081,60-metres,sprints,male,u18
38,6.73,,Austin HAMILTON,29 JUL 1997,SWE,2sf1,Göteborg (SWE) (i),22 FEB 2014,1081,60-metres,sprints,male,u18
38,6.73,,Jonte BAKER,,USA,3h2,"Birmingham, AL (USA) (i)",09 MAR 2017,1081,60-metres,sprints,male,u18
38,6.73,,P.J. LOTHARP,,USA,1sf1,"Johnson City, TN (USA) (i)",01 FEB 2019,1081,60-metres,sprints,male,u18
38,6.73,,Gavin SCHURR,2003,USA,1,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",05 DEC 2020,1081,60-metres,sprints,male,u18
38,6.73,,Nyckoles HARBOR,05 JUL 2005,USA,1f2,"Sports Performance Center, Lubbock, TX (USA) (i)",22 JAN 2022,1081,60-metres,sprints,male,u18
38,6.73,,Jerrae HAWKINS,2006,USA,2sf2,"The Track at New Balance, Boston, MA (USA) (i)",12 MAR 2023,1081,60-metres,sprints,male,u18
38,6.73,,Hikari Osinachi ABRAHAM,14 FEB 2007,JPN,1f1,"Osaka Castle Hall, Osaka (JPN) (i)",03 FEB 2024,1081,60-metres,sprints,male,u18
38,6.73,,Joel MASTERS,15 SEP 2007,GBR,1,"National Indoor Athletics Centre, Sheffield (GBR) (i)",10 FEB 2024,1081,60-metres,sprints,male,u18
53,6.74,,J-Mee SAMUELS,20 MAY 1987,USA,2,"Landover, MD (USA) (i)",16 MAR 2003,1075,60-metres,sprints,male,u18
53,6.74,,Rynell PARSON,11 JUL 1990,USA,1,"Houston, TX (USA) (i)",20 JAN 2007,1075,60-metres,sprints,male,u18
53,6.74,,Rondrick PARKER,,USA,1,"Lewisburg, PA (USA) (i)",12 JAN 2008,1075,60-metres,sprints,male,u18
53,6.74,,Jordan HUGGINS,17 MAY 1991,GBR,1sf3,Birmingham (GBR) (i),23 FEB 2008,1075,60-metres,sprints,male,u18
53,6.74,,Dennis MOORE,,USA,2f2,"Albuquerque, NM (USA) (i)",26 JAN 2013,1075,60-metres,sprints,male,u18
53,6.74,,Andre WOODSON,,USA,2,"Golden, CO (USA) (i)",12 DEC 2015,1075,60-metres,sprints,male,u18
53,6.74,,Jamal WATKINS,,USA,1h1,"Naperville, IL (USA) (i)",10 MAR 2017,1075,60-metres,sprints,male,u18
53,6.74,,Yonglian HUANG,12 NOV 2000,CHN,2sf1,Ashgabat (TKM) (i),19 SEP 2017,1075,60-metres,sprints,male,u18
53,6.74,,Devon MOORE,,USA,1h4,"East Tennessee State-Memorial Ctr., Johnson City, TN (USA) (i)",10 JAN 2020,1075,60-metres,sprints,male,u18
53,6.74,,Devon MOORE,,USA,1h5,"JDL Fast Track, Winston Salem, NC (USA) (i)",29 FEB 2020,1075,60-metres,sprints,male,u18
