rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
167,1:21.81,,UTSA,,INT,2f2,"Mike A. Myers Stadium, Austin, TX (USA)",30 MAR 2024,1151,4x200-metres-relay,relays,male,senior
167,1:21.81,,East Texas A&M,,INT,1f1,"Mike A. Myers Stadium, Austin, TX (USA)",29 MAR 2025,1151,4x200-metres-relay,relays,male,senior
170,1:21.82,,Canada,,CAN,1f2,"Gainesville, FL (USA)",07 APR 2012,1150,4x200-metres-relay,relays,male,senior
170,1:21.82,,Guangdong,,CHN,2h2,Xi'an (CHN),21 SEP 2021,1150,4x200-metres-relay,relays,male,senior
170,1:21.82,,Waseda University,,JPN,1,"Keio Univ. Hiyoshi Athletics Field, Yokohama (JPN)",13 AUG 2023,1150,4x200-metres-relay,relays,male,senior
173,1:21.85,,Germany,,GER,2,"Olympiastadion, Berlin (GER)",31 AUG 2001,1149,4x200-metres-relay,relays,male,senior
174,1:21.87,,Mid. Tennessee State,,INT,2,"Philadelphia, PA (USA)",28 APR 2001,1149,4x200-metres-relay,relays,male,senior
174,1:21.87,,Pure Athletics,,INT,4f1,"Gainesville, FL (USA)",01 APR 2017,1149,4x200-metres-relay,relays,male,senior
174,1:21.87,,South Carolina,,USA,1f3,"Gainesville, FL (USA)",30 MAR 2019,1149,4x200-metres-relay,relays,male,senior
177,1:21.88,,Total Sports,,INT,1,"Lawrence, KS (USA)",19 APR 2008,1148,4x200-metres-relay,relays,male,senior
177,1:21.88,,Barbados,,BAR,4,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1148,4x200-metres-relay,relays,male,senior
177,1:21.88,,Barbados,,BAR,2h2,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1148,4x200-metres-relay,relays,male,senior
180,1:21.90,,Louisiana State,,INT,1h4,"Philadelphia, PA (USA)",25 APR 2014,1147,4x200-metres-relay,relays,male,senior
181,1:21.91,,St. Augustine's,,INT,4f1,"Philadelphia, PA (USA)",26 APR 2014,1147,4x200-metres-relay,relays,male,senior
181,1:21.91,,GC Foster College,,JAM,1h3,"Philadelphia, PA (USA)",28 APR 2017,1147,4x200-metres-relay,relays,male,senior
183,1:21.92,,Zenith Velocity AC,,INT,2f1,"Gainesville, FL (USA)",04 APR 2015,1147,4x200-metres-relay,relays,male,senior
184,1:21.93,,South Carolina,,INT,3f1,"Gainesville, FL (USA)",02 APR 2016,1146,4x200-metres-relay,relays,male,senior
185,1:21.95,,Houston,,USA,1f1,"Austin, TX (USA)",08 APR 2006,1146,4x200-metres-relay,relays,male,senior
186,1:21.97,,Saint Kitts and Nevis,,SKN,3h1,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1145,4x200-metres-relay,relays,male,senior
186,1:21.97,,Fujian,,CHN,1f2,"Shangyu Stadium, Shaoxing (CHN)",13 JUN 2021,1145,4x200-metres-relay,relays,male,senior
186,1:21.97,,Baylor,,USA,3f2,"Mike A. Myers Stadium, Austin, TX (USA)",26 MAR 2022,1145,4x200-metres-relay,relays,male,senior
