rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
120,1:54.20,,Chinese Taipei U18,,TPE,4,Tashkent (UZB),30 APR 2023,,medley-relay,relays,male,u18
121,1:54.23,,Brazil U18,,BRA,1h4,"Bressanone, Trentino-Alto Adige (ITA)",11 JUL 2009,,medley-relay,relays,male,u18
121,1:54.23,,Germany U18,,GER,1h2,"Athletic track of National Arena Philip II, Skopje (MKD)",25 JUL 2025,,medley-relay,relays,male,u18
123,1:54.26,,Czech Republic U18,,CZE,4f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",18 JUL 1999,,medley-relay,relays,male,u18
123,1:54.26,,Puerto Rico U18,,PUR,5f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",17 JUL 2005,,medley-relay,relays,male,u18
125,1:54.29,,Poland U18,,POL,4h1,Donetsk (UKR),13 JUL 2013,,medley-relay,relays,male,u18
126,1:54.32,,Bahrain U18,,BRN,2h3,Donetsk (UKR),13 JUL 2013,,medley-relay,relays,male,u18
127,1:54.34,,Italy U18,,ITA,3h3,"Athletic track of National Arena Philip II, Skopje (MKD)",25 JUL 2025,,medley-relay,relays,male,u18
128,1:54.35,,Hungary U18,,HUN,5f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",18 JUL 1999,,medley-relay,relays,male,u18
128,1:54.35,,Spain U18,,ESP,2h1,Banská Bystrica (SVK),20 JUL 2024,,medley-relay,relays,male,u18
128,1:54.35,,Poland U18,,POL,1h1,"Athletic track of National Arena Philip II, Skopje (MKD)",25 JUL 2025,,medley-relay,relays,male,u18
131,1:54.38,,Hungary U18,,HUN,8,Donetsk (UKR),14 JUL 2013,,medley-relay,relays,male,u18
132,1:54.40,,Italy U18,,ITA,1h3,"Atletski stadion Poljane, Maribor (SLO)",28 JUL 2023,,medley-relay,relays,male,u18
133,1:54.41,,South Africa U18,,RSA,2h3,"Sidi Youssef Ben Ali, Marrakech (MAR)",16 JUL 2005,,medley-relay,relays,male,u18
133,1:54.41,,Germany U18,,GER,2h2,Banská Bystrica (SVK),20 JUL 2024,,medley-relay,relays,male,u18
135,1:54.45,,Poland U18,,POL,1h1,Sherbrooke (CAN),12 JUL 2003,,medley-relay,relays,male,u18
