rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,18:21,,Robert KORZENIOWSKI,30 JUL 1968,POL,,Bad Salzdefürth (GER),15 SEP 1990,1194,5-kilometres-race-walk,race-walks,male,senior
2,18:24,,Valdas KAZLAUSKAS,23 FEB 1958,LTU,,Bad Salzdefürth (GER),15 SEP 1990,1189,5-kilometres-race-walk,race-walks,male,senior
3,18:33,,Erik TYSSE,04 DEC 1980,NOR,1,Bergen (NOR),23 AUG 2006,1176,5-kilometres-race-walk,race-walks,male,senior
4,18:37,,Vasiliy MIZINOV,29 DEC 1997,ANA,1,Voronovo (RUS),24 AUG 2019,1170,5-kilometres-race-walk,race-walks,male,senior
5,18:45,,Maksim KRASNOV,10 FEB 1996,RUS,2,Voronovo (RUS),24 AUG 2019,1158,5-kilometres-race-walk,race-walks,male,senior
6,18:57,,Ivan TROTSKI,27 MAY 1976,BLR,1,Hildesheim (GER),14 SEP 2003,1140,5-kilometres-race-walk,race-walks,male,senior
7,19:01,,Erik TYSSE,04 DEC 1980,NOR,2,Hildesheim (GER),14 SEP 2003,1135,5-kilometres-race-walk,race-walks,male,senior
7,19:01,,Anton KUČMÍN,07 JUN 1984,SVK,1,Nitra (SVK),04 OCT 2013,1135,5-kilometres-race-walk,race-walks,male,senior
9,19:02,,Kirill FROLOV,29 SEP 1993,RUS,3,Voronovo (RUS),24 AUG 2019,1133,5-kilometres-race-walk,race-walks,male,senior
10,19:04,,Matej TÓTH,10 FEB 1983,SVK,2,Nitra (SVK),04 OCT 2013,1130,5-kilometres-race-walk,race-walks,male,senior
10,19:04,,Tim FRASER,22 FEB 2000,AUS,1,"Stromlo Forest Park, Canberra (AUS)",08 JUN 2025,1130,5-kilometres-race-walk,race-walks,male,senior
12,19:09,,Tim SEAMAN,14 MAY 1972,USA,3,Hildesheim (GER),14 SEP 2003,1123,5-kilometres-race-walk,race-walks,male,senior
