rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,28:46,,Agnes Jebet NGETICH,23 JAN 2001,KEN,1,Valencia (ESP),14 JAN 2024,1317,10-kilometres,road-running,female,senior
2,28:57,,Emmaculate Anyango ACHOL,02 APR 2000,KEN,2,Valencia (ESP),14 JAN 2024,1306,10-kilometres,road-running,female,senior
3,29:14,,Yalemzerf YEHUALAW,03 AUG 1999,ETH,1,Castellón (ESP),27 FEB 2022,1290,10-kilometres,road-running,female,senior
4,29:19,,Yalemzerf YEHUALAW,03 AUG 1999,ETH,1,Valencia (ESP),15 JAN 2023,1286,10-kilometres,road-running,female,senior
5,29:25,,Medina EISA,03 JAN 2005,ETH,1,Castellón (ESP),16 FEB 2025,1280,10-kilometres,road-running,female,senior
6,29:26,,Agnes Jebet NGETICH,23 JAN 2001,KEN,1,Lille (FRA),18 NOV 2023,1279,10-kilometres,road-running,female,senior
7,29:27,,Agnes Jebet NGETICH,23 JAN 2001,KEN,1,Herzogenaurach (GER),26 APR 2025,1278,10-kilometres,road-running,female,senior
8,29:30,,Hellen Ekalale LOBUN,18 MAR 1999,KEN,1,Valencia (ESP),12 JAN 2025,1275,10-kilometres,road-running,female,senior
9,29:32,,Lilian Kasait RENGERUK,03 MAY 1997,KEN,3,Valencia (ESP),14 JAN 2024,1274,10-kilometres,road-running,female,senior
10,29:34,,Girmawit GEBRZIHAIR,21 NOV 2001,ETH,2,Valencia (ESP),12 JAN 2025,1272,10-kilometres,road-running,female,senior
11,29:38,,Kalkidan GEZAHEGNE,08 MAY 1991,BRN,1,Genève (SUI),03 OCT 2021,1268,10-kilometres,road-running,female,senior
12,29:40,,Likina AMEBAW,30 NOV 1997,ETH,2,Castellón (ESP),16 FEB 2025,1266,10-kilometres,road-running,female,senior
13,29:42,,Fotyen TESFAY,17 FEB 1998,ETH,3,Valencia (ESP),12 JAN 2025,1264,10-kilometres,road-running,female,senior
14,29:43,,Joyciline JEPKOSGEI,28 DEC 1993,KEN,1,Praha (CZE),09 SEP 2017,1263,10-kilometres,road-running,female,senior
14,29:43,,Asayech AYICHEW,03 APR 2005,ETH,4,Valencia (ESP),12 JAN 2025,1263,10-kilometres,road-running,female,senior
16,29:46,,Sheila CHEPKIRUI,27 DEC 1990,KEN,1,Valencia (ESP),12 JAN 2020,1261,10-kilometres,road-running,female,senior
17,29:50,,Rosemary WANJIRU,09 DEC 1994,KEN,2,Valencia (ESP),12 JAN 2020,1257,10-kilometres,road-running,female,senior
17,29:50,,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,1,Valencia (ESP),03 OCT 2021,1257,10-kilometres,road-running,female,senior
17,29:50,,Faith CHEPKOECH,12 MAY 2003,KEN,1,Castellón (ESP),25 FEB 2024,1257,10-kilometres,road-running,female,senior
20,29:51,,Norah JERUTO,02 OCT 1995,KEN,3,Valencia (ESP),12 JAN 2020,1256,10-kilometres,road-running,female,senior
21,29:54,,Fotyen TESFAY,17 FEB 1998,ETH,2,Castellón (ESP),25 FEB 2024,1253,10-kilometres,road-running,female,senior
22,29:55,,Janeth CHEPNGETICH,23 JUL 1998,KEN,4,Valencia (ESP),14 JAN 2024,1252,10-kilometres,road-running,female,senior
23,29:56,,Diana CHEPKORIR,02 JUN 2002,KEN,3,Castellón (ESP),25 FEB 2024,1251,10-kilometres,road-running,female,senior
23,29:56,,Likina AMEBAW,30 NOV 1997,ETH,1,Paris (FRA),05 APR 2024,1251,10-kilometres,road-running,female,senior
23,29:56,,Christine CHESIRO,08 JUL 2003,KEN,1,Lille (FRA),16 NOV 2024,1251,10-kilometres,road-running,female,senior
26,29:57,,Sheila CHEPKIRUI,27 DEC 1990,KEN,1,Praha (CZE),07 SEP 2019,1250,10-kilometres,road-running,female,senior
26,29:57,,Dorcas Jepchumba KIMELI,05 JUL 1997,KEN,2,Praha (CZE),07 SEP 2019,1250,10-kilometres,road-running,female,senior
26,29:57,,Loice CHEMNUNG,22 FEB 1997,KEN,2,Paris (FRA),05 APR 2024,1250,10-kilometres,road-running,female,senior
29,30:00,,Fantaye BELAYNEH,11 SEP 2000,ETH,5,Valencia (ESP),12 JAN 2025,1248,10-kilometres,road-running,female,senior
30,30:01,,Agnes Jebet TIROP,23 OCT 1995,KEN,1,Herzogenaurach (GER),12 SEP 2021,1247,10-kilometres,road-running,female,senior
30,30:01,,Jesca CHELANGAT,09 JAN 1998,KEN,2,Valencia (ESP),15 JAN 2023,1247,10-kilometres,road-running,female,senior
30,30:01,,Emmaculate Anyango ACHOL,02 APR 2000,KEN,2,Lille (FRA),18 NOV 2023,1247,10-kilometres,road-running,female,senior
33,30:03,,Joy CHEPTOYEK,15 MAY 2002,UGA,5,Valencia (ESP),14 JAN 2024,1245,10-kilometres,road-running,female,senior
33,30:03,,Agnes Jebet NGETICH,23 JAN 2001,KEN,1,"Adi-Dassler-Straße 1, Herzogenaurach (GER)",27 APR 2024,1245,10-kilometres,road-running,female,senior
35,30:05,,Lonah Chemtai SALPETER,12 DEC 1988,ISR,1,Tilburg (NED),01 SEP 2019,1243,10-kilometres,road-running,female,senior
35,30:05,,Aynadis MEBRATU,25 NOV 2004,ETH,3,Castellón (ESP),16 FEB 2025,1243,10-kilometres,road-running,female,senior
37,30:06,,Fancy CHEMUTAI,20 MAR 1995,KEN,2,Praha (CZE),09 SEP 2017,1242,10-kilometres,road-running,female,senior
37,30:06,,Christine CHESIRO,08 JUL 2003,KEN,6,Valencia (ESP),12 JAN 2025,1242,10-kilometres,road-running,female,senior
39,30:07,,Norah JERUTO,02 OCT 1995,KEN,3,Praha (CZE),07 SEP 2019,1241,10-kilometres,road-running,female,senior
39,30:07,,Sheila CHEPKIRUI,27 DEC 1990,KEN,1,Brasov (ROU),25 SEP 2022,1241,10-kilometres,road-running,female,senior
41,30:08,,Norah JERUTO,02 OCT 1995,KEN,2,Valencia (ESP),03 OCT 2021,1240,10-kilometres,road-running,female,senior
41,30:08,,Loice CHEMNUNG,22 FEB 1997,KEN,6,Valencia (ESP),14 JAN 2024,1240,10-kilometres,road-running,female,senior
41,30:08,,Cintia CHEPNGENO,03 JUN 2000,KEN,7,Valencia (ESP),14 JAN 2024,1240,10-kilometres,road-running,female,senior
44,30:09,,Loice CHEMNUNG,22 FEB 1997,KEN,4,Castellón (ESP),25 FEB 2024,1239,10-kilometres,road-running,female,senior
45,30:12,,Diana CHEPKORIR,02 JUN 2002,KEN,1,Praha (CZE),07 SEP 2024,1236,10-kilometres,road-running,female,senior
46,30:13,,Loice CHEMNUNG,22 FEB 1997,KEN,1,Brasov (ROU),22 SEP 2024,1236,10-kilometres,road-running,female,senior
47,30:14,,Vicoty CHEPNGENO,12 NOV 1993,KEN,2,Castellón (ESP),27 FEB 2022,1235,10-kilometres,road-running,female,senior
48,30:15,,Tsehay GEMECHU,12 DEC 1998,ETH,1,Valencia (ESP),13 JAN 2019,1234,10-kilometres,road-running,female,senior
48,30:15,,Hellen OBIRI,13 DEC 1989,KEN,1,Manchester (GBR),22 MAY 2022,1234,10-kilometres,road-running,female,senior
48,30:15,,Esther Birundu BORURA,05 JAN 2000,KEN,3,Valencia (ESP),15 JAN 2023,1234,10-kilometres,road-running,female,senior
51,30:16,,Irine Chepet CHEPTAI,04 FEB 1992,KEN,1,Praha (CZE),03 SEP 2022,1233,10-kilometres,road-running,female,senior
52,30:17,,Sheila CHEPKIRUI,27 DEC 1990,KEN,2,Herzogenaurach (GER),12 SEP 2021,1232,10-kilometres,road-running,female,senior
52,30:17,,Irine Chepet CHEPTAI,04 FEB 1992,KEN,8,Valencia (ESP),14 JAN 2024,1232,10-kilometres,road-running,female,senior
52,30:17,,Cintia CHEPNGENO,03 JUN 2000,KEN,4,Castellón (ESP),16 FEB 2025,1232,10-kilometres,road-running,female,senior
