rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,3:54.52,,Ling ZHANG,13 APR 1980,CHN,5,Shanghai (CHN),18 OCT 1997,1250,1500-metres,middlelong,female,u18
2,3:54.93,,Birke HAYLOM,06 JAN 2006,ETH,2,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1247,1500-metres,middlelong,female,u18
3,3:55.47,,Ling ZHANG,13 APR 1980,CHN,h,Shanghai (CHN),17 OCT 1997,1242,1500-metres,middlelong,female,u18
4,3:56.98,,Birke HAYLOM,06 JAN 2006,ETH,6,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1230,1500-metres,middlelong,female,u18
5,3:57.66,,Birke HAYLOM,06 JAN 2006,ETH,3,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023,1224,1500-metres,middlelong,female,u18
6,3:59.21,,Saron BERHE,22 AUG 2007,ETH,8,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1212,1500-metres,middlelong,female,u18
7,3:59.49,,Birke HAYLOM,06 JAN 2006,ETH,,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1210,1500-metres,middlelong,female,u18
8,3:59.81,,Yuan WANG,08 APR 1976,CHN,7,Beijing (CHN),11 SEP 1993,1207,1500-metres,middlelong,female,u18
9,4:00.46,,Saron BERHE,22 AUG 2007,ETH,11,"Boudewijnstadion, Bruxelles (BEL)",08 SEP 2023,1202,1500-metres,middlelong,female,u18
10,4:00.86,,Saron BERHE,22 AUG 2007,ETH,6,"Egret Stadium, Xiamen (CHN)",02 SEP 2023,1199,1500-metres,middlelong,female,u18
11,4:01.12,,Birke HAYLOM,06 JAN 2006,ETH,3h3,"Nemzeti Atlétikai Központ, Budapest (HUN)",19 AUG 2023,1197,1500-metres,middlelong,female,u18
12,4:01.51,,Birke HAYLOM,06 JAN 2006,ETH,9,"Nemzeti Atlétikai Központ, Budapest (HUN)",22 AUG 2023,1193,1500-metres,middlelong,female,u18
13,4:01.79,,Yuan WANG,08 APR 1976,CHN,5h1,Beijing (CHN),10 SEP 1993,1191,1500-metres,middlelong,female,u18
14,4:01.86,,Birke HAYLOM,06 JAN 2006,ETH,6,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2023,1191,1500-metres,middlelong,female,u18
15,4:02.25,,Birke HAYLOM,06 JAN 2006,ETH,2,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",07 MAY 2022,1187,1500-metres,middlelong,female,u18
16,4:02.30,,Saron BERHE,22 AUG 2007,ETH,1,"Estadio Vallehermoso, Madrid (ESP)",22 JUL 2023,1187,1500-metres,middlelong,female,u18
17,4:02.46,,Birke HAYLOM,06 JAN 2006,ETH,2sf1,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1186,1500-metres,middlelong,female,u18
