rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
45,2:57.90,,Jamaica,,JAM,2,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019,1230,4x400-metres-relay,relays,male,senior
46,2:57.91,,United States,,USA,1,"Memorial Coliseum, Los Angeles, CA (USA)",11 AUG 1984,1230,4x400-metres-relay,relays,male,senior
47,2:57.97,,Jamaica,,JAM,1,Winnipeg (CAN),30 JUL 1999,1229,4x400-metres-relay,relays,male,senior
48,2:57.98,,Belgium,,BEL,2h2,"National Stadium, Tokyo (JPN)",20 SEP 2025,1229,4x400-metres-relay,relays,male,senior
49,2:58.00,,Poland,,POL,1,"New York, NY (USA)",22 JUL 1998,1228,4x400-metres-relay,relays,male,senior
50,2:58.01,,Alabama,,INT,2f2,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",13 MAY 2023,1228,4x400-metres-relay,relays,male,senior
51,2:58.03,,Bahamas,,BAH,2,"National Stadium, Beijing (CHN)",23 AUG 2008,1228,4x400-metres-relay,relays,male,senior
52,2:58.07,,Jamaica,,JAM,3,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1227,4x400-metres-relay,relays,male,senior
53,2:58.11,,Great Britain & NI,,GBR,3h2,"National Stadium, Tokyo (JPN)",20 SEP 2025,1227,4x400-metres-relay,relays,male,senior
54,2:58.12,,Trinidad and Tobago,,TTO,1,"Olympic Stadium, London (GBR)",13 AUG 2017,1227,4x400-metres-relay,relays,male,senior
54,2:58.12,,South Africa,,RSA,5,"Stade de France, Paris (FRA)",10 AUG 2024,1227,4x400-metres-relay,relays,male,senior
56,2:58.13,,United States,,USA,1h2,"National Stadium, Beijing (CHN)",29 AUG 2015,1226,4x400-metres-relay,relays,male,senior
57,2:58.16,,Jamaica,,JAM,2,"Estádio Olímpico, Rio de Janeiro (BRA)",20 AUG 2016,1226,4x400-metres-relay,relays,male,senior
58,2:58.19,,Bahamas,,BAH,1,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001,1225,4x400-metres-relay,relays,male,senior
58,2:58.19,,Belgium,,BEL,2f1,"Tianhe Sports Center, Guangzhou (CHN)",11 MAY 2025,1225,4x400-metres-relay,relays,male,senior
60,2:58.20,,Trinidad and Tobago,,TTO,2,"National Stadium, Beijing (CHN)",30 AUG 2015,1225,4x400-metres-relay,relays,male,senior
61,2:58.22,,Great Britain & NI,,GBR,1,"Poljud Stadion, Split (CRO)",01 SEP 1990,1225,4x400-metres-relay,relays,male,senior
62,2:58.23,,United States,,USA,1sf1,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1225,4x400-metres-relay,relays,male,senior
63,2:58.27,,Botswana,,BOT,3f1,"Tianhe Sports Center, Guangzhou (CHN)",11 MAY 2025,1224,4x400-metres-relay,relays,male,senior
64,2:58.29,,Jamaica,,JAM,2sf1,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1224,4x400-metres-relay,relays,male,senior
64,2:58.29,,Jamaica,,JAM,1h1,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1224,4x400-metres-relay,relays,male,senior
66,2:58.33,,Jamaica,,JAM,2,"New York, NY (USA)",22 JUL 1998,1223,4x400-metres-relay,relays,male,senior
66,2:58.33,,Botswana,,BOT,2h1,"National Stadium, Tokyo (JPN)",06 AUG 2021,1223,4x400-metres-relay,relays,male,senior
66,2:58.33,,Japan,,JPN,6,"Stade de France, Paris (FRA)",10 AUG 2024,1223,4x400-metres-relay,relays,male,senior
69,2:58.34,,Trinidad and Tobago,,TTO,3f1,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1223,4x400-metres-relay,relays,male,senior
70,2:58.37,,Texas A&M,,INT,1,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1223,4x400-metres-relay,relays,male,senior
71,2:58.38,,United States,,USA,2h1,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1222,4x400-metres-relay,relays,male,senior
72,2:58.39,,Jamaica,,JAM,2,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001,1222,4x400-metres-relay,relays,male,senior
73,2:58.42,,Jamaica,,JAM,2sf2,"Olympic Stadium, Atlanta, GA (USA)",02 AUG 1996,1222,4x400-metres-relay,relays,male,senior
74,2:58.43,,United States,,USA,1f1,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1222,4x400-metres-relay,relays,male,senior
75,2:58.45,,France,,FRA,2,"Nemzeti Atlétikai Központ, Budapest (HUN)",27 AUG 2023,1221,4x400-metres-relay,relays,male,senior
76,2:58.46,,Poland,,POL,5,"National Stadium, Tokyo (JPN)",07 AUG 2021,1221,4x400-metres-relay,relays,male,senior
77,2:58.47,,United States,,USA,1h1,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1221,4x400-metres-relay,relays,male,senior
78,2:58.49,,Bahamas,,BAH,3,"Estádio Olímpico, Rio de Janeiro (BRA)",20 AUG 2016,1221,4x400-metres-relay,relays,male,senior
79,2:58.51,,Great Britain & NI,,GBR,3,"National Stadium, Beijing (CHN)",30 AUG 2015,1220,4x400-metres-relay,relays,male,senior
79,2:58.51,,Jamaica,,JAM,4,"National Stadium, Beijing (CHN)",30 AUG 2015,1220,4x400-metres-relay,relays,male,senior
81,2:58.52,,Belgium,,BEL,4,"Estádio Olímpico, Rio de Janeiro (BRA)",20 AUG 2016,1220,4x400-metres-relay,relays,male,senior
82,2:58.53,,Florida,,USA,2f1,"Percy Beard Track, Gainesville, FL (USA)",16 APR 2022,1220,4x400-metres-relay,relays,male,senior
83,2:58.55,,Poland,,POL,1h2,"National Stadium, Tokyo (JPN)",06 AUG 2021,1220,4x400-metres-relay,relays,male,senior
84,2:58.56,,Brazil,,BRA,2,Winnipeg (CAN),30 JUL 1999,1220,4x400-metres-relay,relays,male,senior
85,2:58.58,,Jamaica,,JAM,2,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1219,4x400-metres-relay,relays,male,senior
86,2:58.60,,Trinidad and Tobago,,TTO,3h1,"National Stadium, Tokyo (JPN)",06 AUG 2021,1219,4x400-metres-relay,relays,male,senior
87,2:58.61,,United States,,USA,2,"Olympic Stadium, London (GBR)",13 AUG 2017,1219,4x400-metres-relay,relays,male,senior
88,2:58.62,,Florida,,INT,1sf3,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1219,4x400-metres-relay,relays,male,senior
89,2:58.65,,United States,,USA,1,"Olympic Stadium, Montréal (CAN)",31 JUL 1976,1218,4x400-metres-relay,relays,male,senior
90,2:58.67,,Trinidad and Tobago,,TTO,2h2,"National Stadium, Beijing (CHN)",29 AUG 2015,1218,4x400-metres-relay,relays,male,senior
91,2:58.68,,Great Britain & NI,,GBR,1,"Népstadion, Budapest (HUN)",23 AUG 1998,1218,4x400-metres-relay,relays,male,senior
91,2:58.68,,Nigeria,,NGR,1,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1218,4x400-metres-relay,relays,male,senior
