rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
50,2:08.25,,Russia U18,,RUS,1h3,"Sidi Youssef Ben Ali, Marrakech (MAR)",16 JUL 2005,,medley-relay,relays,female,u18
50,2:08.25,,Australia U18,,AUS,2h3,"Sidi Youssef Ben Ali, Marrakech (MAR)",16 JUL 2005,,medley-relay,relays,female,u18
52,2:08.33,,Ukraine U18,,UKR,1,Yalta (UKR),20 MAY 2007,,medley-relay,relays,female,u18
53,2:08.35,,Switzerland U18,,SUI,2h3,"Athletic track of National Arena Philip II, Skopje (MKD)",25 JUL 2025,,medley-relay,relays,female,u18
54,2:08.37,,Hungary U18,,HUN,8f1,Banská Bystrica (SVK),21 JUL 2024,,medley-relay,relays,female,u18
55,2:08.38,,United States U18,,USA,1h2,Ostrava (CZE),14 JUL 2007,,medley-relay,relays,female,u18
56,2:08.39,,Japan U18,,JPN,1h2,Donetsk (UKR),13 JUL 2013,,medley-relay,relays,female,u18
57,2:08.44,,Nigeria U18,,NGR,2h2,Lille (FRA),09 JUL 2011,,medley-relay,relays,female,u18
58,2:08.48,,France U18,,FRA,1,"New District Stadium, Tbilisi (GEO)",17 JUL 2016,,medley-relay,relays,female,u18
59,2:08.49,,Poland U18,,POL,1h3,Banská Bystrica (SVK),20 JUL 2024,,medley-relay,relays,female,u18
60,2:08.50,,Czechia U18,,CZE,6,"Athletic track of National Arena Philip II, Skopje (MKD)",26 JUL 2025,,medley-relay,relays,female,u18
61,2:08.52,,Canada U18,,CAN,1h1,Donetsk (UKR),13 JUL 2013,,medley-relay,relays,female,u18
62,2:08.53,,Spain U18,,ESP,1,Baku (AZE),27 JUL 2019,,medley-relay,relays,female,u18
63,2:08.55,,Czech Republic U18,,CZE,4,Donetsk (UKR),14 JUL 2013,,medley-relay,relays,female,u18
64,2:08.57,,Poland U18,,POL,2,"New District Stadium, Tbilisi (GEO)",17 JUL 2016,,medley-relay,relays,female,u18
65,2:08.59,,Canada U18,,CAN,5,Donetsk (UKR),14 JUL 2013,,medley-relay,relays,female,u18
66,2:08.64,,Germany U18,,GER,2h3,Banská Bystrica (SVK),20 JUL 2024,,medley-relay,relays,female,u18
67,2:08.66,,Russia U18,,RUS,1h1,Lille (FRA),09 JUL 2011,,medley-relay,relays,female,u18
67,2:08.66,,Ukraine U18,,UKR,3h3,Banská Bystrica (SVK),20 JUL 2024,,medley-relay,relays,female,u18
69,2:08.68,,Poland U18,,POL,3h2,Lille (FRA),09 JUL 2011,,medley-relay,relays,female,u18
70,2:08.80,,British Virgin Islands U18,,IVB,2h1,Donetsk (UKR),13 JUL 2013,,medley-relay,relays,female,u18
70,2:08.80,,Spain U18,,ESP,3f1,"Givat Ram Stadium, Jerusalem (ISR)",07 JUL 2022,,medley-relay,relays,female,u18
72,2:08.82,,Czech Republic U18,,CZE,1h2,"Atletski stadion Poljane, Maribor (SLO)",28 JUL 2023,,medley-relay,relays,female,u18
72,2:08.82,,Hungary U18,,HUN,4h3,Banská Bystrica (SVK),20 JUL 2024,,medley-relay,relays,female,u18
74,2:08.89,,Spain U18,,ESP,1h3,Baku (AZE),26 JUL 2019,,medley-relay,relays,female,u18
75,2:08.97,,Canada U18,,CAN,2h1,Lille (FRA),09 JUL 2011,,medley-relay,relays,female,u18
76,2:08.99,,Italy U18,,ITA,3,"New District Stadium, Tbilisi (GEO)",17 JUL 2016,,medley-relay,relays,female,u18
