rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,5:19.70,,Jessica HULL,22 OCT 1996,AUS,1,"Stade Louis II, Monaco (MON)",12 JUL 2024,1252,2000-metres,middlelong,female,senior
2,5:21.56,,Francine NIYONSABA,05 MAY 1993,BDI,1,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021,1241,2000-metres,middlelong,female,senior
3,5:23.75,,Genzebe DIBABA,08 FEB 1991,ETH,1,Sabadell (ESP) (i),07 FEB 2017,1257,2000-metres,middlelong,female,senior
4,5:25.36,,Sonia O'SULLIVAN,28 NOV 1969,IRL,1,Edinburgh (GBR),08 JUL 1994,1220,2000-metres,middlelong,female,senior
5,5:25.86,,Freweyni HAILU,12 FEB 2001,ETH,2,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021,1217,2000-metres,middlelong,female,senior
6,5:26.08,,Melissa COURTNEY-BRYANT,30 AUG 1993,GBR,2,"Stade Louis II, Monaco (MON)",12 JUL 2024,1215,2000-metres,middlelong,female,senior
7,5:26.09,,Edinah JEBITOK,10 NOV 2001,KEN,3,"Stade Louis II, Monaco (MON)",12 JUL 2024,1215,2000-metres,middlelong,female,senior
8,5:26.93,,Yvonne MURRAY,04 OCT 1964,GBR,2,Edinburgh (GBR),08 JUL 1994,1211,2000-metres,middlelong,female,senior
9,5:27.50,,Genzebe DIBABA,08 FEB 1991,ETH,1,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1207,2000-metres,middlelong,female,senior
10,5:27.73,,Genzebe DIBABA,08 FEB 1991,ETH,1,Montreuil (FRA),19 JUN 2018,1206,2000-metres,middlelong,female,senior
11,5:28.69,,Maricica PUICĂ,29 JUL 1950,ROU,1,London (GBR),11 JUL 1986,1200,2000-metres,middlelong,female,senior
12,5:28.72,,Tatyana KAZANKINA,17 DEC 1951,URS,1,Moskva (URS),04 AUG 1984,1200,2000-metres,middlelong,female,senior
13,5:28.78,,Cory Ann MCGEE,29 MAY 1992,USA,4,"Stade Louis II, Monaco (MON)",12 JUL 2024,1200,2000-metres,middlelong,female,senior
14,5:28.82,,Georgia GRIFFITH,05 DEC 1996,AUS,5,"Stade Louis II, Monaco (MON)",12 JUL 2024,1200,2000-metres,middlelong,female,senior
15,5:29.42,,Genzebe DIBABA,08 FEB 1991,ETH,1,Sollentuna (SWE),26 JUN 2014,1196,2000-metres,middlelong,female,senior
16,5:29.58,,Yvonne MURRAY,04 OCT 1964,GBR,2,London (GBR),11 JUL 1986,1195,2000-metres,middlelong,female,senior
17,5:29.64,,Tetyana POZDNYAKOVA,04 MAR 1956,URS,2,Moskva (URS),04 AUG 1984,1195,2000-metres,middlelong,female,senior
18,5:30.19,,Zola BUDD,26 MAY 1966,GBR,3,London (GBR),11 JUL 1986,1192,2000-metres,middlelong,female,senior
