rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
27,21:21.15,,Anežka DRAHOTOVÁ,22 JUL 1995,CZE,,"Eugene, OR (USA)",23 JUL 2014,1121,5000-metres-race-walk,race-walks,female,u20
28,21:21.80,,Susana FEITOR,28 JAN 1975,POR,1,"Estadio de Anoeta, San Sebastián (ESP)",29 JUL 1993,1120,5000-metres-race-walk,race-walks,female,u20
29,21:22.8h,,Yiaoling FAN,14 MAY 1971,CHN,4,Hefei (CHN),03 MAR 1990,1119,5000-metres-race-walk,race-walks,female,u20
30,21:23.54,,Kelian GAO,15 AUG 1983,CHN,1,Chengdu (CHN),06 SEP 2000,1118,5000-metres-race-walk,race-walks,female,u20
31,21:24.40,,Nanako FUJII,07 MAY 1999,JPN,2,Fukui (JPN),08 OCT 2018,1117,5000-metres-race-walk,race-walks,female,u20
32,21:24.71,,Natalya TROFIMOVA,17 JAN 1975,RUS,3,"Estadio Universitario, Lisboa (POR)",23 JUL 1994,1117,5000-metres-race-walk,race-walks,female,u20
33,21:26.1h,,Kong YAN,05 APR 1971,CHN,5,Hefei (CHN),03 MAR 1990,1115,5000-metres-race-walk,race-walks,female,u20
34,21:27.7h,,Lyudmila DEDEKINA,05 JAN 1979,RUS,1,Izhevsk (RUS),17 MAY 1998,1113,5000-metres-race-walk,race-walks,female,u20
35,21:27.9h,,Caimei LIU,01 MAR 1971,CHN,7,Hefei (CHN),03 MAR 1990,1113,5000-metres-race-walk,race-walks,female,u20
36,21:28.57,,Ailing XUE,12 FEB 1979,CHN,3,"Parc des Sports, Annecy (FRA)",01 AUG 1998,1112,5000-metres-race-walk,race-walks,female,u20
37,21:29.30,,Yelena LASHMANOVA,09 APR 1992,RUS,1,Penza (RUS),02 AUG 2009,1111,5000-metres-race-walk,race-walks,female,u20
38,21:29.5h,,Tatyana GUDKOVA,23 JAN 1978,RUS,2,"Adler, Sochi (RUS)",10 FEB 1996,1111,5000-metres-race-walk,race-walks,female,u20
39,21:29.8h,,Fenglian NI,13 NOV 1970,CHN,4,Anshan (CHN),02 SEP 1989,1111,5000-metres-race-walk,race-walks,female,u20
40,21:30.03,,Hong LIU,12 MAY 1987,CHN,4,Zhengzhou (CHN),30 AUG 2005,1110,5000-metres-race-walk,race-walks,female,u20
41,21:30.1h,,Vera SOKOLOVA,23 JUN 1987,RUS,1,Chelyabinsk (RUS) (i),06 JAN 2005,1110,5000-metres-race-walk,race-walks,female,u20
42,21:30.18,,Kate VEALE,05 JAN 1994,IRL,1,Dublin (IRL),06 AUG 2011,1110,5000-metres-race-walk,race-walks,female,u20
43,21:30.91,,Susana FEITOR,28 JAN 1975,POR,,Schwechat (AUT),01 JUL 1992,1109,5000-metres-race-walk,race-walks,female,u20
44,21:30.92,,Oksana SHCHASTNAYA,24 APR 1971,URS,1,"Alexander Stadium, Birmingham (GBR)",07 AUG 1987,1109,5000-metres-race-walk,race-walks,female,u20
45,21:31.81,,Liping PANG,23 FEB 2006,CHN,1,"Stadio Guidobaldi, Rieti (ITA)",10 MAY 2025,1108,5000-metres-race-walk,race-walks,female,u20
46,21:31.85,,Irina STANKINA,25 MAR 1977,RUS,1,"SIAC Homebush, Sydney (AUS)",24 AUG 1996,1108,5000-metres-race-walk,race-walks,female,u20
47,21:33.44,,Nanako FUJII,07 MAY 1999,JPN,1,Matsuyama (JPN),09 OCT 2017,1106,5000-metres-race-walk,race-walks,female,u20
48,21:33.8h,,Wang YAN,02 MAY 1971,CHN,1,Jinan (CHN),08 MAR 1986,1106,5000-metres-race-walk,race-walks,female,u20
49,21:33.9h,,Xiaolan ZHOU,01 JUL 1972,CHN,6,Zhengzhou (CHN),03 MAR 1991,1106,5000-metres-race-walk,race-walks,female,u20
50,21:34.23,,Natalie SAVILLE,07 SEP 1978,AUS,1,Melbourne (AUS),01 MAR 1997,1105,5000-metres-race-walk,race-walks,female,u20
51,21:35.87,,Meryem BEKMEZ,31 JUL 2000,TUR,1,Ankara (TUR),25 MAY 2019,1103,5000-metres-race-walk,race-walks,female,u20
52,21:36.7h,,Alena KOSTROMITINA,30 OCT 1989,RUS,3,Chelyabinsk (RUS) (i),06 JAN 2008,1102,5000-metres-race-walk,race-walks,female,u20
53,21:36.92,,Mari Cruz DÍAZ,24 OCT 1969,ESP,2,"Alexander Stadium, Birmingham (GBR)",07 AUG 1987,1102,5000-metres-race-walk,race-walks,female,u20
54,21:37.60,,Sofia SANTACREU,07 FEB 2006,ESP,1,"Polideportivo Municipal, Villafranca de los Barros (ESP)",26 JUL 2025,1101,5000-metres-race-walk,race-walks,female,u20
55,21:39.03,,Katie HAYWARD,23 JUL 2000,AUS,1,Brisbane (AUS),22 OCT 2016,1100,5000-metres-race-walk,race-walks,female,u20
56,21:39.1h,,Alina TSVILII,18 SEP 1994,UKR,1,Mukachevo (UKR),29 OCT 2011,1100,5000-metres-race-walk,race-walks,female,u20
57,21:39.75,,Natalya TROFIMOVA,17 JAN 1975,RUS,2,"Estadio de Anoeta, San Sebastián (ESP)",29 JUL 1993,1099,5000-metres-race-walk,race-walks,female,u20
58,21:39.89,,Liping PANG,23 FEB 2006,CHN,1,"Centro Gabre Gabric, Brescia (ITA)",14 JUN 2025,1099,5000-metres-race-walk,race-walks,female,u20
59,21:39.93,,Caihong NI,23 JAN 1991,CHN,1,Yantai (CHN),13 OCT 2006,1099,5000-metres-race-walk,race-walks,female,u20
