rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
1,20:28.05,,Tatyana KALMYKOVA,10 JAN 1990,RUS,1,Ostrava (CZE),12 JUL 2007,1186,5000-metres-race-walk,race-walks,female,u20
2,20:31.4h,,Irina STANKINA,25 MAR 1977,RUS,1,"Adler, Sochi (RUS)",10 FEB 1996,1182,5000-metres-race-walk,race-walks,female,u20
3,20:37.7h,,Bingjie JIN,03 JUN 1971,CHN,1,Hefei (CHN),03 MAR 1990,1174,5000-metres-race-walk,race-walks,female,u20
4,20:44.25,,Anna LUKYANOVA,23 APR 1991,RUS,1,Volgograd (RUS) (i),23 FEB 2010,1166,5000-metres-race-walk,race-walks,female,u20
5,20:44.37,,Yelena LASHMANOVA,09 APR 1992,RUS,2,Volgograd (RUS) (i),23 FEB 2010,1166,5000-metres-race-walk,race-walks,female,u20
6,20:55.0h,,Bingjie JIN,03 JUN 1971,CHN,1,Anshan (CHN),02 SEP 1989,1153,5000-metres-race-walk,race-walks,female,u20
7,21:01.8h,,Susana FEITOR,28 JAN 1975,POR,1,Fana (NOR),08 MAY 1993,1145,5000-metres-race-walk,race-walks,female,u20
8,21:02.6h,,Jingxue LI,10 FEB 1970,CHN,2,Anshan (CHN),02 SEP 1989,1144,5000-metres-race-walk,race-walks,female,u20
9,21:05.41,,Irina STANKINA,25 MAR 1977,RUS,1,"Estadio Universitario, Lisboa (POR)",23 JUL 1994,1140,5000-metres-race-walk,race-walks,female,u20
10,21:06.0h,,Susana FEITOR,28 JAN 1975,POR,1,Fana (NOR),07 MAY 1994,1139,5000-metres-race-walk,race-walks,female,u20
11,21:06.3h,,Anisiya KORNIKOVA-KIRDYAPKINA,23 OCT 1989,RUS,1,Saransk (RUS),10 JUN 2006,1139,5000-metres-race-walk,race-walks,female,u20
12,21:06.7h,,Sun YAN,04 MAY 1973,CHN,5,Zhengzhou (CHN),03 MAR 1991,1139,5000-metres-race-walk,race-walks,female,u20
13,21:11.01,,Sabine ZIMMER-KRANTZ,06 FEB 1981,GER,,Mannheim (GER),12 JUN 1998,1133,5000-metres-race-walk,race-walks,female,u20
14,21:12.87,,Susana FEITOR,28 JAN 1975,POR,2,"Estadio Universitario, Lisboa (POR)",23 JUL 1994,1131,5000-metres-race-walk,race-walks,female,u20
15,21:12.91,,Yanxue MAO,15 FEB 1994,CHN,5,Tianjin (CHN),16 SEP 2012,1131,5000-metres-race-walk,race-walks,female,u20
16,21:13.1h,,Irina STANKINA,25 MAR 1977,RUS,1,Izhevsk (RUS),03 JUN 1995,1131,5000-metres-race-walk,race-walks,female,u20
17,21:13.16,,Yingzi CUI,26 JAN 1971,CHN,1,Jinan (CHN),30 OCT 1988,1131,5000-metres-race-walk,race-walks,female,u20
18,21:14.39,,Sabine ZIMMER-KRANTZ,06 FEB 1981,GER,1,"Parc des Sports, Annecy (FRA)",01 AUG 1998,1129,5000-metres-race-walk,race-walks,female,u20
19,21:15.9h,,Oksana KIRILLOVA,1988,RUS,10,Saransk (RUS),19 JUN 2005,1127,5000-metres-race-walk,race-walks,female,u20
20,21:15.99,,Claudia IOVAN,25 FEB 1978,ROU,1,"Bežigrajski stadion, Ljubljana (SLO)",24 JUL 1997,1127,5000-metres-race-walk,race-walks,female,u20
21,21:17.89,,Jolanta DUKURE,20 SEP 1979,LAT,2,"Parc des Sports, Annecy (FRA)",01 AUG 1998,1125,5000-metres-race-walk,race-walks,female,u20
22,21:18.05,,Miao YU,02 APR 1989,CHN,2,Zhengzhou (CHN),30 AUG 2005,1125,5000-metres-race-walk,race-walks,female,u20
23,21:18.1h,,Yili WANG,04 APR 1971,CHN,3,Anshan (CHN),02 SEP 1989,1125,5000-metres-race-walk,race-walks,female,u20
24,21:20.03,,Hongmiao GAO,17 MAR 1974,CHN,1,"Olympic Stadium, Seoul (KOR)",20 SEP 1992,1122,5000-metres-race-walk,race-walks,female,u20
25,21:21.14,,Lijun ZHAI,28 NOV 1986,CHN,3,Zhengzhou (CHN),30 AUG 2005,1121,5000-metres-race-walk,race-walks,female,u20
25,21:21.14,,Irina YUMANOVA,09 APR 1990,RUS,2,Ostrava (CZE),12 JUL 2007,1121,5000-metres-race-walk,race-walks,female,u20
