rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
40,1:52.66,,Brazil U18,,BRA,2,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,male,u18,medley-relay,track,112.66,ITA,,2009
40,1:52.66,,Bahamas U18,,BAH,2h2,Lille (FRA),2011-07-09,,medley-relay,relays,male,u18,medley-relay,track,112.66,FRA,,2011
42,1:52.68,,France U18,,FRA,1,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,medley-relay,relays,male,u18,medley-relay,track,112.68,SLO,,2023
43,1:52.69,,Italy U18,,ITA,1f1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-07,,medley-relay,relays,male,u18,medley-relay,track,112.69,ISR,,2022
44,1:52.70,,United States U18,,USA,1h2,Debrecen (HUN),2001-07-14,,medley-relay,relays,male,u18,medley-relay,track,112.7,HUN,,2001
45,1:52.71,,Oceania U18,,INT,3,Singapore (SGP),2010-08-23,,medley-relay,relays,male,u18,medley-relay,track,112.71000000000001,SGP,,2010
46,1:52.77,,Trinidad and Tobago U18,,TTO,6,Lille (FRA),2011-07-10,,medley-relay,relays,male,u18,medley-relay,track,112.77000000000001,FRA,,2011
47,1:52.78,,Jamaica U18,,JAM,1h4,Donetsk (UKR),2013-07-13,,medley-relay,relays,male,u18,medley-relay,track,112.78,UKR,,2013
47,1:52.78,,Italy U18,,ITA,1,"New District Stadium, Tbilisi (GEO)",2016-07-17,,medley-relay,relays,male,u18,medley-relay,track,112.78,GEO,,2016
49,1:52.79,,Sweden U18,,SWE,1,Thessaloniki (GRE),2006-06-30,,medley-relay,relays,male,u18,medley-relay,track,112.78999999999999,GRE,,2006
50,1:52.82,,Japan U18,,JPN,3,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,male,u18,medley-relay,track,112.82,ITA,,2009
51,1:52.90,,Nigeria U18,,NGR,1h2,Donetsk (UKR),2013-07-13,,medley-relay,relays,male,u18,medley-relay,track,112.9,UKR,,2013
