rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
84,2:09.13,,Brazil U18,,BRA,1h2,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,female,u18,medley-relay,track,129.13,MAR,,2005
85,2:09.15,,Switzerland U18,,SUI,1h2,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,129.15,SVK,,2024
86,2:09.16,,Greece U18,,GRE,2,Baku (AZE),2019-07-27,,medley-relay,relays,female,u18,medley-relay,track,129.16,AZE,,2019
87,2:09.19,,Poland U18,,POL,2f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-18,,medley-relay,relays,female,u18,medley-relay,track,129.19,POL,,1999
88,2:09.20,,Ireland U18,,IRL,1h2,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-25,,medley-relay,relays,female,u18,medley-relay,track,129.2,MKD,,2025
89,2:09.22,,Hungary U18,,HUN,2f1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,female,u18,medley-relay,track,129.22,ITA,,2009
90,2:09.24,,Canada U18,,CAN,1h1,Sherbrooke (CAN),2003-07-12,,medley-relay,relays,female,u18,medley-relay,track,129.24,CAN,,2003
91,2:09.25,,Romania U18,,ROU,3f1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,female,u18,medley-relay,track,129.25,ITA,,2009
92,2:09.27,,Canada U18,,CAN,1h1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,129.27,ITA,,2009
93,2:09.28,,Norway U18,,NOR,3h3,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,129.28,SLO,,2023
94,2:09.32,,Hungary U18,,HUN,6,Donetsk (UKR),2013-07-14,,medley-relay,relays,female,u18,medley-relay,track,129.32,UKR,,2013
94,2:09.32,,Finland U18,,FIN,2h3,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,129.32,ISR,,2022
96,2:09.33,,Bahamas U18,,BAH,4f1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,female,u18,medley-relay,track,129.33,ITA,,2009
96,2:09.33,,Italy U18,,ITA,2h2,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,129.33,SVK,,2024
98,2:09.36,,United States U18,,USA,1h2,Debrecen (HUN),2001-07-14,,medley-relay,relays,female,u18,medley-relay,track,129.36,HUN,,2001
99,2:09.39,,United States U18,,USA,1h3,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,129.39,FRA,,2011
100,2:09.41,,Czech Republic U18,,CZE,2,"Olimpiai Sportpark, Győr (HUN)",2018-07-08,,medley-relay,relays,female,u18,medley-relay,track,129.41,HUN,,2018
101,2:09.42,,Russia U18,,RUS,5f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-17,,medley-relay,relays,female,u18,medley-relay,track,129.42,MAR,,2005
102,2:09.43,,Greece U18,,GRE,2h3,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,129.43,AZE,,2019
103,2:09.61,,Belarus U18,,BLR,4,"New District Stadium, Tbilisi (GEO)",2016-07-17,,medley-relay,relays,female,u18,medley-relay,track,129.61,GEO,,2016
103,2:09.61,,Hungary U18,,HUN,1,Hradec Králové (CZE),2013-06-08,,medley-relay,relays,female,u18,medley-relay,track,129.61,CZE,,2013
105,2:09.68,,Hungary U18,,HUN,2h1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,129.68,ITA,,2009
106,2:09.70,,Romania U18,,ROU,3,Debrecen (HUN),2001-07-15,,medley-relay,relays,female,u18,medley-relay,track,129.7,HUN,,2001
107,2:09.72,,Japan U18,,JPN,2h1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,female,u18,medley-relay,track,129.72,MAR,,2005
108,2:09.73,,France U18,,FRA,1h1,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,129.73,AZE,,2019
109,2:09.76,,Norway U18,,NOR,5,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,medley-relay,relays,female,u18,medley-relay,track,129.76,SLO,,2023
110,2:09.79,,Jamaica U18,,JAM,5f1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,female,u18,medley-relay,track,129.79,ITA,,2009
111,2:09.80,,Norway U18,,NOR,3h2,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,129.8,SVK,,2024
112,2:09.84,,Trinidad and Tobago,,TTO,2h1,Sherbrooke (CAN),2003-07-12,,medley-relay,relays,female,u18,medley-relay,track,129.84,CAN,,2003
113,2:09.87,,Germany U18,,GER,2h2,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,129.87,SLO,,2023
114,2:09.90,,PR of China U18,,CHN,2h3,Donetsk (UKR),2013-07-13,,medley-relay,relays,female,u18,medley-relay,track,129.9,UKR,,2013
115,2:09.96,,Australia U18,,AUS,4f1,Ostrava (CZE),2007-07-15,,medley-relay,relays,female,u18,medley-relay,track,129.96,CZE,,2007
116,2:09.99,,Romania U18,,ROU,3,"Olimpiai Sportpark, Győr (HUN)",2018-07-08,,medley-relay,relays,female,u18,medley-relay,track,129.99,HUN,,2018
117,2:10.01,,Poland U18,,POL,6f1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,female,u18,medley-relay,track,130.01,ITA,,2009
