rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
35,41.63,,United States,,USA,1,"Los Angeles, CA (USA)",1983-06-25,1237,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.63,USA,,1983
36,41.64,,United States,,USA,1h1,"Olympic Stadium, London (GBR)",2012-08-09,1237,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.64,GBR,,2012
37,41.65,,United States,,USA,1,"Memorial Coliseum, Los Angeles, CA (USA)",1984-08-11,1236,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.65,USA,,1984
37,41.65,,German Democratic Republic,,GDR,1,Moskva (URS),1985-08-17,1236,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.65,URS,,1985
37,41.65,,Jamaica,,JAM,1,"Letzigrund, Zürich (SUI)",2016-09-01,1236,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.65,SUI,,2016
40,41.67,,United States,,USA,1,"Letzigrund, Zürich (SUI)",2013-08-29,1235,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.67,SUI,,2013
40,41.67,,Germany,,GER,1,"Olympiastadion, Berlin (GER)",2019-09-01,1235,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.67,GER,,2019
42,41.68,,German Democratic Republic,,GDR,1,"Poljud Stadion, Split (CRO)",1990-09-01,1235,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.68,CRO,,1990
42,41.68,,United States,,USA,2,"National Stadium, Beijing (CHN)",2015-08-29,1235,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.68,CHN,,2015
44,41.69,,German Democratic Republic,,GDR,1,Potsdam (GDR),1984-07-21,1235,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.69,GDR,,1984
